,pmi,pcent
no,0.3446168476907751,0.163
never,0.2221578439894505,0.069
any,0.187334098617499,0.06
not,0.16521629336387983,0.213
does,0.10697211955216773,0.038
one,0.10097591734000218,0.077
nothing,0.09504354868689395,0.025
all,0.09072885338976219,0.096
did,0.07816477284933626,0.033
care,0.06837729744473678,0.016
everyone,0.066489741268833,0.014
do,0.06482716307924906,0.054
has,0.06125888088721501,0.13
only,0.05453914199635373,0.057
been,0.05418443395282232,0.058
anything,0.05358424613410647,0.015
want,0.05199529511838022,0.025
dont,0.05129329438755048,0.04
had,0.050566889540582895,0.069
completely,0.049240716103163336,0.011
