,0
0,8
1,8
2,9
3,8
4,6
5,3
6,4
7,6
8,3
9,7
10,3
11,4
12,5
13,4
14,7
15,4
16,5
17,4
18,6
19,3
20,5
21,4
22,4
23,3
24,7
25,6
26,5
27,4
28,7
29,9
30,3
31,4
32,7
33,9
34,3
35,5
36,3
37,4
38,4
39,4
40,7
41,5
42,8
43,6
44,4
45,9
46,6
47,8
48,4
49,4
50,4
51,5
52,8
53,6
54,4
55,7
56,4
57,7
58,7
59,6
60,5
61,4
62,6
63,3
64,7
65,3
66,4
67,7
68,3
69,6
70,4
71,7
72,5
73,6
74,7
75,5
76,6
77,7
78,8
79,3
80,7
81,5
82,7
83,6
84,4
85,6
86,7
87,8
88,5
89,5
90,4
91,4
92,4
93,9
94,6
95,8
96,6
97,6
98,5
99,5
100,6
101,5
102,5
103,9
104,5
105,7
106,6
107,8
108,10
109,5
110,12
111,8
112,12
113,10
114,12
115,12
116,7
117,7
118,13
119,13
120,7
121,10
122,4
123,9
124,11
125,9
126,5
127,7
128,7
129,8
130,5
131,17
132,9
133,8
134,10
135,8
136,6
137,18
138,7
139,7
140,6
141,12
142,10
143,8
144,12
145,4
146,13
147,6
148,7
149,3
150,14
151,10
152,9
153,11
154,9
155,6
156,9
157,11
158,7
159,9
160,4
161,6
162,4
163,12
164,8
165,6
166,15
167,13
168,7
169,12
170,13
171,6
172,8
173,11
174,8
175,5
176,8
177,7
178,5
179,6
180,5
181,6
182,5
183,11
184,6
185,7
186,4
187,10
188,8
189,7
190,5
191,12
192,11
193,10
194,7
195,6
196,8
197,7
198,8
199,13
200,6
201,10
202,4
203,12
204,5
205,7
206,10
207,6
208,4
209,8
210,6
211,7
212,9
213,12
214,9
215,4
216,6
217,7
218,4
219,11
220,10
221,8
222,5
223,4
224,9
225,9
226,7
227,7
228,5
229,4
230,5
231,7
232,8
233,10
234,7
235,7
236,5
237,8
238,12
239,8
240,7
241,7
242,14
243,9
244,10
245,10
246,11
247,13
248,5
249,8
250,10
251,12
252,13
253,9
254,10
255,8
256,12
257,8
258,12
259,7
260,9
261,15
262,13
263,7
264,6
265,13
266,9
267,12
268,10
269,8
270,9
271,7
272,3
273,13
274,9
275,11
276,5
277,15
278,17
279,8
280,5
281,14
282,5
283,9
284,16
285,10
286,8
287,11
288,12
289,14
290,11
291,8
292,6
293,11
294,10
295,7
296,8
297,7
298,10
299,6
300,8
301,13
302,8
303,9
304,6
305,10
306,9
307,8
308,8
309,10
310,8
311,10
312,17
313,8
314,13
315,6
316,6
317,10
318,6
319,5
320,13
321,11
322,14
323,10
324,15
325,14
326,10
327,14
328,13
329,8
330,8
331,9
332,15
333,13
334,9
335,6
336,12
337,4
338,8
339,7
340,5
341,14
