,pmi,pcent
no,0.3090299622138627,0.14214214214214213
never,0.2191369014715821,0.06606606606606606
one,0.13639921565352656,0.08308308308308308
any,0.13062155397197528,0.04704704704704705
only,0.10040580588097918,0.06406406406406406
all,0.09333331134713027,0.1021021021021021
ever,0.07496441002836653,0.02002002002002002
has,0.07054824490859693,0.13013013013013014
nothing,0.06717990931162275,0.018018018018018018
anything,0.06589346536361451,0.015015015015015015
completely,0.05875087562710177,0.011011011011011011
everyone,0.047068882412897056,0.016016016016016016
always,0.04677743635264206,0.024024024024024024
believes,0.0456714083880996,0.012012012012012012
way,0.04492305894642287,0.02902902902902903
without,0.03900352935818032,0.022022022022022022
everything,0.037388903626531626,0.009009009009009009
not,0.036598515646468335,0.16916916916916916
or,0.03630299823112603,0.08708708708708708
at,0.034456275637961435,0.08708708708708708
