,0
0,4
1,8
2,4
3,7
4,5
5,6
6,7
7,4
8,6
9,8
10,4
11,7
12,5
13,9
14,4
15,3
16,5
17,7
18,5
19,6
20,7
21,5
22,3
23,6
24,7
25,9
26,6
27,9
28,4
29,4
30,7
31,6
32,4
33,8
34,8
35,6
36,5
37,8
38,12
39,10
40,9
41,3
42,7
43,9
44,7
45,8
46,5
47,5
48,7
49,6
50,4
51,7
52,10
53,6
54,6
55,6
56,7
57,8
58,7
59,8
60,6
61,9
62,11
63,5
64,7
65,7
66,8
67,7
68,4
69,5
70,3
71,13
72,8
73,6
74,4
75,6
76,10
77,13
78,3
79,5
80,11
81,7
82,4
83,8
84,8
85,5
86,7
87,7
88,5
89,8
90,7
91,4
92,3
93,8
94,7
95,4
96,7
97,3
98,4
99,8
100,4
101,7
102,9
103,6
104,13
105,5
106,7
107,6
108,10
109,10
110,8
111,8
112,10
113,8
114,6
115,8
116,10
117,7
118,7
119,3
120,5
121,8
122,6
123,11
124,8
125,7
126,10
127,9
128,16
129,6
130,8
131,10
132,7
133,8
134,6
135,10
136,7
137,11
138,8
139,8
140,10
141,10
142,6
143,9
144,7
145,8
146,7
147,9
148,8
149,9
150,11
151,6
152,7
153,9
154,6
155,7
156,9
157,14
158,6
159,14
160,10
161,16
162,6
163,5
164,6
165,4
166,4
167,5
168,7
169,9
170,6
171,6
172,9
173,14
174,11
175,9
176,10
177,7
178,12
179,8
180,6
181,15
182,10
183,12
184,5
185,8
186,10
187,9
188,11
189,4
190,8
191,5
192,11
193,13
194,5
195,10
196,9
197,8
198,12
199,10
200,9
201,9
202,7
203,6
204,6
205,4
206,10
207,8
208,4
209,7
210,10
211,11
212,6
213,12
214,12
215,11
216,7
217,8
218,7
219,6
220,6
221,11
222,13
223,5
224,4
225,9
226,4
227,11
228,6
229,9
230,12
231,10
232,4
233,11
234,10
235,10
236,10
237,6
238,9
239,11
240,9
241,9
242,7
243,8
244,14
245,9
246,15
247,9
248,7
249,4
250,8
251,15
252,4
253,9
254,9
255,9
256,13
257,3
258,7
259,4
260,8
261,6
262,9
263,10
264,10
265,13
266,6
267,7
268,12
269,13
270,8
271,9
272,9
273,10
274,6
275,15
276,6
277,10
278,8
279,20
280,9
281,9
282,8
283,9
284,6
285,4
286,8
287,7
288,15
289,8
290,5
291,11
292,10
293,11
294,6
295,5
296,12
297,6
298,13
299,8
300,10
301,12
302,5
303,6
304,8
305,11
306,12
307,7
308,10
309,9
310,4
311,8
312,11
313,9
314,7
315,7
316,12
317,8
318,9
319,6
320,3
321,5
322,5
323,6
324,3
325,7
326,7
327,6
328,5
329,6
330,5
331,13
332,8
333,7
334,3
335,8
336,12
337,5
338,4
339,7
340,8
341,8
342,4
343,9
344,8
345,5
346,6
347,3
348,3
349,3
350,3
351,12
352,4
353,5
354,4
355,8
356,8
357,4
358,8
359,4
360,9
361,3
362,4
363,5
364,5
365,9
366,6
367,3
368,8
369,7
370,7
371,10
372,6
373,10
374,13
375,9
376,4
377,7
378,4
379,7
380,5
381,7
382,10
383,8
384,9
385,8
386,8
387,8
388,8
389,8
390,7
391,8
392,6
393,14
394,9
395,7
396,16
397,13
398,11
399,11
400,8
401,8
402,15
403,8
404,12
405,9
406,9
407,26
408,15
409,5
410,13
411,12
412,14
413,7
414,10
415,15
416,8
417,11
418,7
419,10
420,6
421,8
422,15
423,12
424,6
425,7
426,4
427,11
428,13
429,14
430,15
431,16
432,14
433,14
434,14
435,10
436,6
437,6
438,7
439,11
440,10
441,4
442,10
443,9
444,7
445,13
446,12
447,7
448,11
449,8
450,8
451,9
452,7
453,11
454,13
455,5
456,8
457,7
458,19
459,3
460,8
461,9
462,10
463,12
464,11
465,20
466,13
467,8
468,12
469,16
470,12
471,7
472,8
473,8
474,17
475,10
476,7
477,8
478,8
479,6
480,6
481,6
482,9
483,5
484,6
485,5
486,5
487,7
488,9
489,7
490,4
491,4
492,9
493,9
494,3
495,6
496,8
497,5
498,3
499,10
500,8
501,7
502,10
503,5
504,6
505,6
506,8
507,9
508,7
509,8
510,8
511,5
512,6
513,11
514,7
515,9
516,4
517,8
518,6
519,4
520,5
521,4
522,8
523,6
524,16
525,10
526,6
527,4
528,9
529,8
530,7
531,6
532,7
533,9
534,5
535,5
536,3
537,11
538,8
539,6
540,5
541,7
542,5
543,5
544,7
545,8
546,5
547,6
548,3
549,9
550,7
551,7
552,4
553,5
554,5
555,9
556,5
557,6
558,7
559,13
560,6
561,5
562,6
563,5
564,6
565,10
566,9
567,3
568,3
569,9
570,4
571,8
572,5
573,9
574,15
575,9
576,7
577,3
578,10
579,10
580,4
581,5
582,10
583,7
584,6
585,7
586,3
587,6
588,6
589,9
590,6
591,6
592,11
593,17
594,11
595,9
596,4
597,7
598,10
599,11
600,6
601,11
602,10
603,6
604,9
605,6
606,9
607,12
608,5
609,6
610,10
611,7
612,5
613,4
614,12
615,13
616,8
617,7
618,4
619,5
620,12
621,10
622,8
623,6
624,9
625,10
626,12
627,11
628,5
629,8
630,9
631,24
632,12
633,19
634,24
635,11
636,17
637,9
638,12
639,14
640,18
641,16
642,12
643,9
644,8
645,10
646,13
647,5
648,4
649,16
650,11
651,15
652,9
653,12
654,13
655,12
656,17
657,7
658,21
659,14
660,10
661,10
662,13
663,16
664,9
665,11
666,16
667,9
668,14
669,11
670,14
671,7
672,16
673,10
674,16
675,8
676,8
677,13
678,18
679,12
680,20
681,16
682,14
683,9
684,24
685,18
686,15
687,11
688,16
689,9
690,18
691,16
692,16
693,13
694,23
695,7
696,15
697,8
698,12
699,17
700,7
701,16
702,10
703,16
704,11
705,10
706,15
707,15
708,16
709,8
710,18
711,14
712,13
713,17
714,8
715,17
716,10
717,18
718,17
719,14
720,11
721,8
722,18
723,12
724,6
725,15
726,23
727,9
728,16
729,19
730,11
731,10
732,16
733,11
734,14
735,17
736,11
737,9
738,17
739,8
740,9
741,9
742,9
743,14
744,11
745,15
746,12
747,15
748,10
749,18
750,14
751,18
752,11
753,9
754,12
755,8
756,17
757,15
758,11
759,10
760,10
761,4
762,11
763,9
764,11
765,10
766,12
767,8
768,11
769,13
770,13
771,12
772,8
773,9
774,8
775,8
776,13
777,8
778,8
779,5
780,10
781,10
782,9
783,7
784,11
785,9
786,8
787,7
788,5
789,10
790,8
791,5
792,7
793,6
794,12
795,10
796,9
797,6
798,7
799,4
800,8
801,6
802,7
803,9
804,9
805,11
806,4
807,5
808,4
809,9
810,5
811,11
812,12
813,7
814,12
815,11
816,12
817,6
818,5
819,5
820,6
821,13
822,8
823,7
824,3
825,7
826,6
827,9
828,5
829,11
830,10
831,6
832,7
833,5
834,7
835,12
836,7
837,10
838,12
839,6
840,9
841,7
842,13
843,11
844,10
845,4
846,6
847,10
848,12
849,6
850,9
851,7
852,9
853,10
854,2
855,7
856,9
857,5
858,6
859,4
860,9
861,15
862,6
863,11
864,4
865,8
866,6
867,9
868,11
869,8
870,6
871,4
872,11
873,8
874,12
875,11
876,6
877,8
878,4
879,6
880,7
881,7
882,7
883,3
884,11
885,10
886,9
887,8
888,9
889,12
890,10
891,13
892,17
893,10
894,7
895,12
896,13
897,11
898,10
899,9
900,10
901,14
902,8
903,16
904,9
905,11
906,8
907,12
908,8
909,10
910,13
911,7
912,7
913,11
914,8
915,9
916,7
917,10
918,5
919,11
920,7
921,11
922,13
923,13
924,8
925,14
926,7
927,9
928,6
929,9
930,11
931,10
932,13
933,17
934,7
935,11
936,6
937,17
938,7
939,9
940,9
941,10
942,11
943,13
944,5
945,8
946,6
947,21
948,9
949,10
950,8
951,6
952,7
953,13
954,11
955,5
956,12
957,13
958,9
959,12
960,9
961,8
962,8
963,9
964,10
965,10
966,11
967,11
968,8
969,5
970,11
971,10
972,9
973,6
974,16
975,7
976,11
977,6
978,8
979,6
980,13
981,10
982,9
983,14
984,15
985,11
986,7
987,8
988,8
989,6
990,7
991,9
992,10
993,6
994,12
995,10
996,11
997,5
998,9
