,0
0,7
1,5
2,6
3,5
4,8
5,11
6,6
7,14
8,5
9,7
10,9
11,6
12,6
13,8
14,8
15,7
16,10
17,4
18,7
19,7
20,13
21,6
22,5
23,6
24,8
25,7
26,6
27,4
28,9
29,8
30,6
31,6
32,6
33,7
34,5
35,7
36,8
37,8
38,8
39,11
40,7
41,6
42,15
43,10
44,5
45,12
46,6
47,3
48,5
49,4
50,9
51,5
52,5
53,5
54,8
55,5
56,12
57,6
58,9
59,7
60,6
61,7
62,4
63,6
64,9
65,13
66,5
67,5
68,5
69,9
70,5
71,6
72,5
73,8
74,5
75,5
76,9
77,7
78,6
79,6
80,7
81,5
82,6
83,7
84,7
85,6
86,6
87,8
88,6
89,8
90,8
91,7
92,4
93,7
94,4
95,8
96,9
97,4
98,9
99,8
100,4
101,7
102,12
103,12
104,11
105,6
106,11
107,12
108,8
109,11
110,9
111,7
112,8
113,11
114,7
115,9
116,13
117,10
118,11
119,7
120,8
121,10
122,7
123,10
124,5
125,10
126,9
127,12
128,13
129,6
130,11
131,13
132,8
133,9
134,6
135,11
136,10
137,11
138,10
139,7
140,11
141,11
142,10
143,9
144,8
145,11
146,6
147,10
148,9
149,7
150,6
151,8
152,6
153,7
154,5
155,9
156,8
157,10
158,8
159,8
160,8
161,10
162,7
163,8
164,12
165,8
166,6
167,7
168,9
169,8
170,8
171,10
172,7
173,9
174,11
175,9
176,9
177,10
178,12
179,8
180,5
181,9
182,10
183,9
184,6
185,7
186,9
187,9
188,8
189,5
190,8
191,5
192,6
193,12
194,10
195,9
196,13
197,8
198,10
199,13
200,13
201,9
202,8
203,5
204,12
205,8
206,14
207,6
208,8
209,6
210,12
211,9
212,8
213,12
214,4
215,6
216,8
217,10
218,10
219,7
220,8
221,10
222,14
223,9
224,3
225,11
226,7
227,10
228,8
229,7
230,15
231,5
232,8
233,7
234,5
235,10
236,8
237,7
238,15
239,8
240,11
241,14
242,11
243,11
244,11
245,8
246,13
247,7
248,8
249,6
250,11
251,8
252,9
253,19
254,8
255,7
256,7
257,5
258,7
259,9
260,11
261,5
262,8
263,8
264,12
265,8
266,7
267,7
268,10
269,16
270,7
271,8
272,10
273,10
274,10
275,7
276,10
277,9
278,10
279,9
280,7
281,6
282,10
283,7
284,4
285,4
286,7
287,8
288,8
289,7
290,8
291,7
292,11
293,6
294,7
295,6
296,7
297,6
298,6
299,8
300,6
301,10
302,7
303,4
304,8
305,12
306,13
307,3
308,5
309,9
310,8
311,11
312,13
313,8
314,7
315,8
316,9
317,4
318,5
319,9
320,3
321,4
322,7
323,9
324,4
325,7
326,10
327,6
328,6
329,9
330,6
331,7
332,6
333,8
334,7
335,7
336,8
337,7
338,13
339,7
340,4
341,9
342,6
343,3
344,10
345,6
346,6
347,4
348,5
349,4
350,9
351,4
352,4
353,10
354,7
355,5
356,8
357,3
358,4
359,4
360,3
361,6
362,6
363,6
364,4
365,6
366,8
367,4
368,7
369,4
370,7
371,8
372,5
373,7
374,6
375,8
376,7
377,10
378,5
379,5
380,3
381,9
382,18
383,6
384,12
385,15
386,7
387,9
388,9
389,10
390,12
391,14
392,7
393,10
394,8
395,8
396,13
397,13
398,4
399,8
400,14
401,12
402,12
403,10
404,14
405,8
406,10
407,7
408,13
409,7
410,11
411,10
412,12
413,11
414,11
415,7
416,6
417,7
418,8
419,4
420,9
421,5
422,7
423,11
424,9
425,4
426,9
427,12
428,14
429,11
430,14
431,15
432,7
433,12
434,8
435,6
436,8
437,5
438,10
439,10
440,8
441,9
442,11
443,7
444,6
445,9
446,8
447,9
448,10
449,10
450,10
451,9
452,13
453,6
454,7
455,10
456,4
457,13
458,12
459,9
460,11
461,12
462,7
463,12
464,6
465,12
466,8
467,11
468,13
469,12
470,10
471,7
472,15
473,14
474,14
475,11
476,6
477,6
478,8
479,11
480,6
481,7
482,9
483,9
484,7
485,12
486,13
487,6
488,6
489,7
490,5
491,4
492,8
493,7
494,8
495,6
496,7
497,6
498,5
499,7
500,8
501,8
502,6
503,8
504,9
505,7
506,8
507,9
508,6
509,8
510,7
511,3
512,10
513,8
514,11
515,6
516,7
517,7
518,9
519,7
520,6
521,7
522,12
523,10
524,6
525,6
526,6
527,9
528,9
529,13
530,5
531,6
532,6
533,8
534,3
535,7
536,7
537,7
538,5
539,7
540,6
541,8
542,6
543,3
544,8
545,7
546,6
547,7
548,8
549,9
550,10
551,9
552,11
553,6
554,7
555,7
556,8
557,6
558,7
559,6
560,6
561,6
562,9
563,11
564,9
565,8
566,4
567,10
568,4
569,8
570,5
571,8
572,4
573,6
574,6
575,6
576,6
577,4
578,8
579,13
580,4
581,7
582,6
583,6
584,6
585,5
586,7
587,7
588,7
589,12
590,10
591,5
592,8
593,6
594,13
595,6
596,5
597,5
598,10
599,6
600,5
601,11
602,5
603,7
604,6
605,3
606,11
607,5
608,4
609,4
610,9
611,5
612,6
613,5
614,6
615,7
616,6
617,8
618,6
619,6
620,11
621,5
622,8
623,6
624,8
625,9
626,10
627,8
628,4
629,8
630,9
631,14
632,12
633,19
634,11
635,11
636,15
637,4
638,12
639,10
640,12
641,9
642,10
643,4
644,6
645,10
646,14
647,11
648,4
649,6
650,10
651,6
652,7
653,13
654,12
655,12
656,12
657,7
658,11
659,11
660,13
661,6
662,7
663,14
664,12
665,12
666,9
667,12
668,13
669,13
670,12
671,12
672,14
673,7
674,9
675,8
676,11
677,9
678,13
679,10
680,11
681,11
682,10
683,9
684,15
685,11
686,12
687,7
688,18
689,10
690,11
691,17
692,18
693,8
694,14
695,10
696,7
697,8
698,10
699,21
700,11
701,15
702,15
703,12
704,17
705,11
706,13
707,14
708,16
709,8
710,13
711,11
712,11
713,11
714,14
715,21
716,11
717,23
718,15
719,17
720,10
721,9
722,14
723,6
724,6
725,21
726,14
727,13
728,17
729,16
730,9
731,20
732,19
733,7
734,12
735,16
736,13
737,12
738,18
739,9
740,8
741,9
742,10
743,18
744,12
745,9
746,9
747,19
748,15
749,16
750,14
751,10
752,8
753,15
754,13
755,9
756,12
757,9
758,5
759,6
760,9
761,10
762,9
763,7
764,10
765,6
766,11
767,8
768,11
769,9
770,13
771,11
772,6
773,8
774,12
775,12
776,10
777,5
778,7
779,6
780,9
781,7
782,5
783,12
784,9
785,7
786,6
787,8
788,4
789,8
790,8
791,7
792,4
793,5
794,8
795,9
796,8
797,8
798,7
799,4
800,9
801,5
802,6
803,9
804,9
805,8
806,7
807,5
808,5
809,8
810,6
811,7
812,11
813,8
814,7
815,6
816,5
817,5
818,9
819,6
820,4
821,12
822,6
823,8
824,4
825,9
826,6
827,12
828,7
829,10
830,8
831,5
832,5
833,10
834,5
835,9
836,5
837,9
838,7
839,6
840,9
841,8
842,5
843,7
844,11
845,6
846,6
847,5
848,7
849,10
850,5
851,6
852,10
853,6
854,7
855,7
856,9
857,5
858,6
859,7
860,11
861,13
862,5
863,7
864,4
865,8
866,6
867,10
868,7
869,9
870,6
871,3
872,10
873,5
874,5
875,4
876,7
877,7
878,4
879,6
880,10
881,7
882,8
883,13
884,16
885,10
886,14
887,9
888,9
889,12
890,13
891,12
892,8
893,13
894,12
895,10
896,9
897,17
898,20
899,11
900,8
901,11
902,10
903,13
904,6
905,11
906,10
907,12
908,11
909,8
910,11
911,10
912,11
913,5
914,9
915,10
916,12
917,13
918,16
919,11
920,5
921,13
922,11
923,9
924,13
925,17
926,9
927,15
928,8
929,19
930,16
931,16
932,11
933,14
934,22
935,7
936,8
937,16
938,4
939,4
940,11
941,14
942,14
943,13
944,5
945,14
946,8
947,9
948,10
949,9
950,8
951,10
952,11
953,18
954,10
955,10
956,13
957,9
958,11
959,12
960,15
961,8
962,11
963,6
964,15
965,9
966,5
967,14
968,5
969,5
970,12
971,8
972,11
973,7
974,11
975,16
976,11
977,12
978,6
979,11
980,9
981,20
982,7
983,11
984,13
985,12
986,8
987,14
988,7
989,10
990,8
991,10
992,9
993,6
994,9
995,6
996,6
997,8
998,16
