,pmi,pcent
only,0.10697211955216773,0.061122244488977955
refused,0.09559512068102131,0.017034068136272545
any,0.08638461419882064,0.045090180360721446
unable,0.07906852347569303,0.014028056112224449
without,0.07350246199292652,0.027054108216432865
all,0.071389996086673,0.07915831663326653
nothing,0.06382193207071948,0.02404809619238477
is,0.06054211696922828,0.405811623246493
impossible,0.055569851154810786,0.011022044088176353
always,0.05348868495098622,0.028056112224448898
everyone,0.05330855345450691,0.022044088176352707
little,0.05129329438755048,0.02004008016032064
completely,0.04969966855227254,0.01002004008016032
people,0.04634749773573292,0.0841683366733467
take,0.043675063502661635,0.017034068136272545
was,0.04320875433123674,0.1683366733466934
left,0.0425596144187959,0.012024048096192385
ever,0.04035129552356745,0.018036072144288578
from,0.04020642047804061,0.10320641282565131
less,0.038048067637529964,0.025050100200400802
