,0
0,6
1,6
2,3
3,7
4,10
5,12
6,4
7,13
8,8
9,8
10,6
11,9
12,16
13,8
14,9
15,7
16,14
17,4
18,9
19,6
20,4
21,15
22,11
23,7
24,10
25,12
26,8
27,3
28,5
29,9
30,6
31,5
32,5
33,5
34,4
35,6
36,3
37,7
38,8
39,7
40,8
41,9
42,10
43,8
44,6
45,4
46,5
47,19
48,8
49,11
50,9
51,6
52,6
53,9
54,6
55,10
56,7
57,7
58,6
59,4
60,5
61,11
62,7
63,7
64,10
65,5
66,10
67,10
68,7
69,12
70,9
71,11
72,6
73,14
74,8
75,12
76,17
77,16
78,7
79,6
80,11
81,9
82,8
83,12
84,8
85,12
86,10
87,11
88,6
89,10
90,10
91,8
92,8
93,5
94,7
95,10
96,7
97,8
98,11
99,5
100,6
101,5
102,6
103,9
104,4
105,7
106,3
107,7
108,19
109,9
110,7
111,8
112,4
113,6
114,9
115,10
116,7
117,18
118,12
119,14
120,11
121,14
122,4
123,11
124,9
125,5
126,10
127,14
128,14
129,8
130,6
131,11
132,6
133,11
134,5
135,9
136,12
137,5
138,5
139,5
140,7
141,4
142,5
143,6
144,9
145,8
146,3
147,13
148,4
149,15
150,11
151,10
152,16
153,12
154,6
155,8
156,6
157,7
158,10
159,11
160,4
161,5
162,3
163,10
164,7
165,7
166,5
167,19
168,7
169,9
170,17
171,14
172,6
173,4
174,8
175,9
176,11
177,7
178,10
179,10
180,7
181,9
182,10
183,7
184,8
185,9
186,9
187,14
188,10
189,11
190,5
191,7
192,12
193,12
194,6
195,7
196,23
197,7
198,6
199,13
200,8
201,6
202,7
203,8
204,9
205,11
206,12
207,6
208,12
209,7
210,14
211,8
212,9
213,12
214,7
215,5
216,4
217,8
218,9
219,10
220,8
221,5
222,9
223,11
224,6
225,8
226,8
227,6
228,12
229,10
230,10
231,6
232,7
233,9
234,12
235,4
236,4
237,5
238,14
239,7
240,8
241,12
242,11
243,5
244,6
245,7
246,6
247,5
248,9
249,7
250,6
251,3
252,10
253,8
254,10
255,6
256,8
257,12
258,12
259,8
260,7
261,11
262,10
263,7
264,8
265,7
266,12
267,11
268,9
269,6
270,10
271,7
272,11
273,9
274,8
275,8
276,5
277,9
278,14
279,5
280,6
281,4
282,6
283,4
284,19
285,6
286,8
287,3
288,10
289,11
290,9
291,5
292,12
293,5
294,3
295,5
296,5
297,6
298,14
299,7
300,15
301,14
302,10
303,6
304,8
305,12
306,9
307,6
308,13
309,9
310,4
311,10
312,9
313,11
314,16
315,6
316,15
317,15
318,16
319,6
320,6
321,12
322,4
323,7
324,5
325,10
326,14
327,9
328,12
329,7
330,7
331,11
332,9
333,8
334,11
335,12
336,9
337,18
338,13
339,15
340,4
341,12
342,9
343,7
344,7
345,8
346,8
347,12
348,9
349,11
350,13
351,6
352,12
353,17
354,7
355,14
356,6
357,4
358,9
359,8
360,8
361,7
362,5
363,8
364,5
365,11
366,11
367,8
368,8
369,11
370,6
371,4
372,12
373,8
374,9
375,4
376,7
377,7
378,3
379,7
380,9
381,11
382,7
383,9
384,10
385,11
386,9
387,13
388,11
389,13
390,7
391,9
392,11
393,7
394,8
395,4
396,4
397,7
398,7
399,7
400,5
401,9
402,12
403,9
404,11
405,10
406,7
407,6
408,8
409,9
410,14
411,11
412,9
413,13
414,10
415,4
416,14
417,9
418,16
419,5
420,8
421,11
422,6
423,6
424,9
425,11
426,8
427,18
428,18
429,8
430,8
431,12
432,9
433,10
434,5
435,3
436,9
437,2
438,10
439,6
440,8
441,7
442,4
443,15
444,14
445,11
446,3
447,14
448,8
449,10
450,9
451,5
452,5
453,6
454,7
455,8
456,9
457,5
458,18
459,13
460,3
461,7
462,10
463,7
464,4
465,9
466,7
467,11
468,8
469,5
470,5
471,12
472,9
473,10
474,7
475,8
476,5
477,11
478,6
479,9
480,4
481,9
482,5
483,9
484,8
485,6
486,9
487,4
488,6
489,4
490,8
491,11
492,5
493,6
494,9
495,8
496,10
497,5
498,5
499,8
500,6
501,7
502,8
503,10
504,6
505,8
506,6
507,9
508,13
509,6
510,6
511,8
512,6
513,10
514,6
515,11
516,10
517,5
518,3
519,10
520,9
521,5
522,12
523,9
524,9
525,11
526,3
527,6
528,9
529,8
530,9
531,7
532,12
533,8
534,10
535,5
536,7
537,8
538,9
539,9
540,4
541,4
542,15
543,4
544,6
545,8
546,3
547,9
548,11
549,7
550,8
551,5
552,9
553,8
554,6
555,8
556,7
557,7
558,18
559,10
560,18
561,11
562,10
563,10
564,8
565,9
566,18
567,6
568,13
569,8
570,8
571,9
572,7
573,14
574,8
575,9
576,8
577,5
578,9
579,18
580,8
581,6
582,12
583,11
584,7
585,4
586,6
587,6
588,7
589,6
590,6
591,10
592,10
593,12
594,11
595,10
596,12
597,8
598,4
599,12
600,8
601,7
602,8
603,6
604,9
605,10
606,12
607,5
608,6
609,9
610,13
611,6
612,6
613,5
614,12
615,11
616,11
617,4
618,7
619,18
620,8
621,10
622,4
623,9
624,6
625,5
626,7
627,6
628,6
629,7
630,12
631,8
632,5
633,8
634,5
635,6
636,13
637,13
638,10
639,14
640,7
641,7
642,3
643,11
644,8
645,8
646,6
647,9
648,6
649,18
650,6
651,6
652,6
653,7
654,16
655,5
656,12
657,12
658,12
659,10
660,6
661,10
662,5
663,10
664,10
665,8
666,6
667,7
668,5
669,14
670,7
671,6
672,9
673,8
674,12
675,7
676,13
677,5
678,14
679,8
680,4
681,7
