,0
0,5
1,10
2,9
3,9
4,8
5,6
6,19
7,9
8,11
9,10
10,7
11,10
12,5
13,6
14,8
15,14
16,11
17,10
18,9
19,9
20,7
21,6
22,6
23,5
24,9
25,11
26,10
27,9
28,6
29,7
30,10
31,4
32,9
33,9
34,6
35,5
36,10
37,7
38,4
39,8
40,5
41,17
42,5
43,10
44,13
45,12
46,21
47,5
48,9
49,9
50,18
51,10
52,14
53,12
54,12
55,4
56,6
57,9
58,7
59,15
60,7
61,4
62,6
63,7
64,6
65,8
66,10
67,12
68,9
69,6
70,6
71,15
72,8
73,8
74,14
75,10
76,16
77,13
78,11
79,7
80,12
81,11
82,8
83,6
84,10
85,6
86,8
87,10
88,9
89,7
90,10
91,12
92,6
93,7
94,9
95,6
96,11
97,9
98,7
99,10
100,9
101,9
102,8
103,6
104,10
105,10
106,4
107,10
108,8
109,8
110,9
111,6
112,13
113,18
114,5
115,5
116,6
117,3
118,10
119,9
120,15
121,6
122,9
123,3
124,15
125,9
126,7
127,9
128,8
129,8
130,8
131,7
132,8
133,9
134,6
135,11
136,15
137,12
138,10
139,17
140,5
141,8
142,7
143,5
144,13
145,6
146,5
147,14
148,10
149,8
150,8
151,12
152,5
153,6
154,13
155,7
156,7
157,4
158,11
159,15
160,19
161,10
162,5
163,5
164,8
165,5
166,21
167,10
168,11
169,20
170,6
171,7
172,15
173,8
174,7
175,10
176,8
177,6
178,5
179,9
180,4
181,4
182,14
183,7
184,19
185,10
186,8
187,5
188,9
189,11
190,6
191,10
192,9
193,6
194,11
195,6
196,9
197,5
198,14
199,14
200,8
201,12
202,8
203,11
204,11
205,6
206,7
207,4
208,6
209,9
210,10
211,4
212,17
213,10
214,8
215,5
216,10
217,12
218,12
219,8
220,5
221,11
222,6
223,6
224,10
225,4
226,8
227,6
228,6
229,7
230,6
231,10
232,17
233,8
234,4
235,8
236,12
237,9
238,5
239,7
240,9
241,12
242,12
243,4
244,7
245,13
246,13
247,5
248,10
249,8
250,9
251,13
252,8
253,8
254,8
255,7
256,10
257,10
258,6
259,8
260,12
261,5
262,5
263,10
264,13
265,10
266,9
267,4
268,10
269,7
270,8
271,9
272,6
273,3
274,10
275,6
276,8
277,8
278,11
279,7
280,4
281,6
282,13
283,9
284,6
285,6
286,12
287,8
288,8
289,17
290,4
291,8
292,7
293,11
294,6
295,3
296,7
297,5
298,5
299,9
300,13
301,15
302,12
303,17
304,13
305,12
306,10
307,7
308,9
309,8
310,7
311,8
312,9
313,14
314,6
315,9
316,9
317,7
318,11
319,6
320,9
321,9
322,9
323,14
324,10
325,5
326,14
327,12
328,9
329,14
330,15
331,6
332,8
333,16
334,8
335,17
336,10
337,11
338,8
339,21
340,10
341,12
342,9
343,5
344,9
345,3
346,10
347,20
348,10
349,14
350,4
351,7
352,7
353,9
354,11
355,8
356,4
357,15
358,12
359,8
360,8
361,10
362,7
363,6
364,10
365,6
366,7
367,7
368,8
369,11
370,9
371,9
372,14
373,7
374,4
375,21
376,19
377,9
378,14
379,8
380,7
381,5
382,5
383,11
384,10
385,8
386,10
387,12
388,14
389,10
390,5
391,12
392,13
393,14
394,10
395,6
396,5
397,13
398,8
399,7
400,5
401,11
402,5
403,8
404,6
405,7
406,5
407,5
408,6
409,6
410,11
411,15
412,14
413,10
414,19
415,5
416,6
417,8
418,8
419,7
420,14
421,9
422,13
423,9
424,7
425,11
426,4
427,10
428,11
429,12
430,7
431,13
432,14
433,13
434,14
435,11
436,10
437,18
438,9
439,13
440,5
441,6
442,7
443,12
444,5
445,7
446,6
447,6
448,9
449,14
450,17
451,7
452,15
453,5
454,8
455,13
456,8
457,8
458,13
459,18
460,7
461,11
462,10
463,10
464,6
465,7
466,3
467,18
468,10
469,7
470,9
471,6
472,8
473,9
474,13
475,6
476,5
477,9
478,5
479,12
480,4
481,11
482,9
483,5
484,6
485,8
486,8
487,4
488,5
489,6
490,7
491,11
492,6
493,16
494,9
495,10
496,7
497,8
498,11
499,15
500,10
501,9
502,9
503,8
504,7
505,7
506,9
507,9
508,7
509,6
510,3
511,6
512,12
513,5
514,12
515,10
516,5
517,18
518,5
519,18
520,7
521,8
