,0
0,11
1,14
2,13
3,7
4,8
5,8
6,10
7,8
8,10
9,9
10,8
11,9
12,6
13,11
14,8
15,11
16,14
17,13
18,10
19,12
20,9
21,9
22,6
23,6
24,5
25,10
26,6
27,15
28,10
29,6
30,5
31,13
32,32
33,11
34,12
35,5
36,7
37,5
38,4
39,8
40,8
41,9
42,6
43,7
44,7
45,8
46,12
47,7
48,15
49,6
50,11
51,8
52,17
53,8
54,9
55,15
56,9
57,7
58,9
59,10
60,5
61,16
62,6
63,7
64,12
65,5
66,6
67,10
68,8
69,5
70,9
71,10
72,8
73,6
74,9
75,7
76,8
77,4
78,8
79,8
80,9
81,10
82,17
83,9
84,7
85,9
86,6
87,11
88,4
89,9
90,9
91,12
92,6
93,7
94,11
95,13
96,4
97,7
98,4
99,7
100,9
101,9
102,38
103,8
104,4
105,12
106,5
107,4
108,6
109,11
110,11
111,7
112,12
113,12
114,8
115,5
116,10
117,5
118,5
119,9
120,11
121,4
122,8
123,6
124,7
125,7
126,7
127,7
128,5
129,3
130,18
131,10
132,9
133,11
134,11
135,7
136,14
137,9
138,4
139,7
140,5
141,7
142,7
143,7
144,13
145,6
146,6
147,9
148,6
149,6
150,9
151,9
152,4
153,13
154,7
155,10
156,9
157,7
158,6
159,9
160,10
161,5
162,7
163,8
164,14
165,11
166,6
167,8
168,6
169,8
170,6
171,5
172,3
173,10
174,9
175,10
176,6
177,35
178,10
179,11
180,9
181,7
182,7
183,15
184,12
185,17
186,12
187,4
188,8
189,11
190,7
191,6
192,13
193,21
194,4
195,17
196,12
197,5
198,8
199,6
200,6
201,11
202,9
203,7
204,6
205,4
206,10
207,13
208,6
209,15
210,20
211,10
212,23
213,10
214,6
215,11
216,9
217,6
218,5
219,9
220,27
221,7
222,8
223,9
224,4
225,24
226,6
227,5
228,4
229,9
230,6
231,12
232,21
233,13
234,6
235,9
236,6
237,7
238,8
239,5
240,4
241,8
242,7
243,9
244,13
245,10
246,7
247,10
248,19
249,7
250,7
251,8
252,9
253,5
254,7
255,8
256,5
257,9
258,23
259,17
260,7
261,12
262,8
263,5
264,10
265,18
266,14
267,13
268,8
269,9
270,6
271,6
272,9
273,19
274,11
275,8
276,5
277,10
278,10
279,8
280,6
281,9
282,8
283,10
284,8
285,10
286,14
287,7
288,8
289,8
290,13
291,4
292,8
293,10
294,13
295,6
296,6
297,9
298,9
299,13
300,18
301,13
302,11
303,8
304,13
305,10
306,5
307,15
308,9
309,7
310,14
311,20
312,4
313,13
314,10
315,15
316,23
317,11
318,7
319,12
320,5
321,8
322,11
323,16
324,8
325,5
326,7
327,9
328,15
329,6
330,6
331,6
332,8
333,23
334,15
335,8
336,8
337,3
338,15
339,7
340,19
341,5
342,8
343,4
344,13
345,8
346,5
347,11
348,6
349,9
350,12
351,13
352,8
353,8
354,5
355,10
356,13
357,6
358,8
359,7
360,10
361,11
362,7
363,9
364,18
365,11
366,10
367,13
368,4
369,10
370,4
371,6
372,10
373,11
374,14
375,8
376,10
377,9
378,6
379,12
380,25
381,9
382,5
383,4
384,12
385,3
386,10
387,14
388,10
389,8
390,5
391,5
392,9
393,10
394,8
395,14
396,11
397,9
398,4
399,16
400,10
401,8
402,6
403,6
404,11
405,11
406,6
407,15
408,11
409,11
410,7
411,6
412,16
413,7
414,6
415,4
416,3
417,9
418,13
419,22
420,5
421,11
422,9
423,12
424,5
425,5
426,9
427,7
428,8
429,12
430,7
431,4
432,8
433,11
434,13
435,4
436,7
437,14
438,6
439,7
440,9
441,17
442,9
443,3
444,10
445,7
446,6
447,16
448,5
449,6
450,6
451,6
452,9
453,16
454,8
455,9
456,6
457,7
458,7
459,10
460,5
461,7
462,9
463,8
464,10
465,8
466,11
467,8
468,6
469,6
470,6
471,9
472,10
473,10
474,6
475,10
476,8
477,8
478,7
479,14
480,12
481,10
482,11
483,9
484,16
485,19
486,16
487,11
488,9
489,8
490,10
491,15
492,6
493,8
494,9
495,11
496,8
497,9
498,17
499,5
500,5
501,6
502,10
503,8
504,9
505,11
506,8
507,14
508,6
509,5
510,7
511,7
512,10
513,9
514,7
515,4
516,11
517,8
518,11
519,9
520,6
521,7
522,7
523,9
524,5
525,23
526,6
527,15
528,5
529,8
530,9
531,17
532,9
533,18
534,9
535,15
536,7
537,8
538,10
539,11
540,6
541,8
542,16
543,8
544,12
545,17
546,9
547,8
548,5
549,4
550,8
551,9
552,7
553,6
554,7
555,9
556,6
557,6
558,8
559,9
560,10
561,4
562,8
563,11
564,6
565,4
566,9
