,pmi,pcent
author,0.07252644406826259,0.031015507753876938
isnt,0.05392141679381996,0.013506753376688344
not,0.05133577436886562,0.15657828914457228
different,0.049553814454729284,0.015507753876938469
can,0.040088298068344935,0.07303651825912956
known,0.040005334613699206,0.009504752376188095
there,0.03984590854719978,0.07803901950975488
certain,0.03840944811487126,0.007503751875937969
position,0.035718082602079246,0.007003501750875438
possible,0.03306086226088821,0.01150575287643822
idea,0.03306086226088821,0.01150575287643822
according,0.032523191705560145,0.01250625312656328
once,0.03226086221822148,0.013006503251625813
cause,0.03184060585565863,0.008504252126063032
regarding,0.03164821095078164,0.003501750875437719
considered,0.030771658666753687,0.010505252626313157
health,0.02967576814611654,0.007003501750875438
others,0.028610534041265838,0.015007503751875938
able,0.028170876966696224,0.010005002501250625
called,0.028170876966696224,0.010005002501250625
