,pmi,pcent
many,0.13647516866853593,0.062
most,0.12344419109112176,0.055
was,0.12124924363286968,0.189
very,0.118605742407847,0.052
popular,0.0877756108823858,0.019
were,0.0769610411361284,0.089
this,0.07300336583351914,0.132
people,0.07103577311675174,0.075
good,0.06738299724604796,0.033
time,0.06513930217096145,0.048
also,0.05715841383994862,0.038
than,0.056810406180267906,0.069
more,0.05170137437689041,0.072
by,0.05144856183604179,0.126
in,0.05111609938398591,0.395
descent,0.050643732818754936,0.008
great,0.050530808647215965,0.015
had,0.05032508388751563,0.063
result,0.04879016416943205,0.012
few,0.04879016416943205,0.026
