,0
0,11
1,6
2,8
3,8
4,7
5,5
6,3
7,4
8,6
9,8
10,8
11,14
12,6
13,8
14,7
15,6
16,11
17,7
18,3
19,3
20,3
21,3
22,4
23,5
24,5
25,6
26,3
27,4
28,4
29,7
30,6
31,3
32,4
33,5
34,5
35,6
36,4
37,4
38,3
39,4
40,8
41,4
42,6
43,4
44,2
45,5
46,4
47,2
48,4
49,4
50,3
51,3
52,3
53,4
54,5
55,4
56,6
57,3
58,5
59,7
60,10
61,12
62,5
63,14
64,14
65,7
66,12
67,5
68,5
69,15
70,11
71,12
72,10
73,10
74,5
75,7
76,8
77,5
78,10
79,6
80,7
81,4
82,7
83,11
84,11
85,13
86,4
87,15
88,11
89,11
90,9
91,7
92,19
93,7
94,10
95,8
96,6
97,11
98,15
99,6
100,11
101,5
102,8
103,12
104,11
105,14
106,7
107,10
108,4
109,12
110,9
111,10
112,7
113,14
114,7
115,7
116,18
117,8
118,21
119,9
120,7
121,12
122,11
123,11
124,7
125,7
126,7
127,9
128,3
129,13
130,5
131,9
132,11
133,8
134,8
135,11
136,6
137,16
138,18
139,9
140,8
141,8
142,8
143,9
144,19
145,7
146,7
147,6
148,10
149,5
150,4
151,3
152,7
153,6
154,5
155,8
156,4
157,12
158,4
159,7
160,5
161,6
162,4
163,6
164,5
165,8
166,3
167,5
168,4
169,4
170,5
171,6
172,8
173,5
174,6
175,3
176,3
177,6
178,4
179,6
180,4
181,2
182,3
183,11
184,4
185,7
186,5
187,4
188,5
189,6
190,8
191,9
192,6
193,5
194,5
195,4
196,6
197,3
198,6
199,6
200,5
201,7
202,8
203,3
204,6
205,7
206,8
207,4
208,7
209,7
210,5
211,3
212,4
213,3
214,6
215,6
216,7
217,6
218,4
219,4
220,5
221,6
222,5
223,8
224,4
225,6
226,4
227,3
228,4
229,8
230,3
231,6
232,8
233,5
234,4
235,6
236,8
237,7
238,5
239,6
240,4
241,8
242,9
243,7
244,5
245,4
246,9
247,5
248,5
249,4
250,6
251,4
252,4
253,4
254,4
255,9
256,10
257,8
258,7
259,4
260,5
261,5
262,4
263,8
264,3
265,6
266,3
267,7
268,7
269,4
270,4
271,5
272,9
273,11
274,5
275,8
276,6
277,7
278,4
279,7
280,6
281,3
282,6
283,4
284,3
285,6
286,4
287,5
288,5
289,4
290,5
291,4
292,7
293,6
294,3
295,5
296,4
297,5
298,6
299,4
300,5
301,7
302,4
303,3
304,4
305,6
306,4
307,9
308,4
309,7
310,10
311,3
312,7
313,11
314,4
315,7
316,4
317,8
318,8
319,7
320,5
321,10
322,5
323,8
324,4
325,9
326,2
327,4
328,11
329,6
330,5
331,5
332,7
333,9
334,8
335,3
336,6
337,8
338,6
339,6
340,6
341,9
342,11
343,6
344,7
345,8
346,6
347,5
348,16
349,7
350,5
351,7
352,11
353,6
354,5
355,10
356,6
357,8
358,8
359,9
360,8
361,8
362,9
363,8
364,14
365,9
366,5
367,9
368,4
369,9
370,11
371,4
372,9
373,10
374,7
375,11
376,11
377,12
378,5
379,12
380,13
381,5
382,10
383,10
384,7
385,8
386,18
387,10
388,13
389,5
390,10
391,8
392,14
393,9
394,6
395,6
396,5
397,9
398,5
399,6
400,7
401,8
402,4
403,7
404,10
405,6
406,3
407,7
408,4
409,7
410,7
411,5
412,11
413,4
414,6
415,4
416,7
417,4
418,9
419,3
420,7
421,8
422,6
423,14
424,4
425,4
426,8
427,10
428,4
429,6
430,8
431,5
432,5
433,3
434,4
435,7
436,4
437,6
438,5
439,5
440,5
441,4
442,5
443,14
444,7
445,6
446,5
447,4
448,9
449,5
450,9
451,5
452,6
453,9
454,9
455,5
456,7
457,12
458,9
459,5
460,6
461,5
462,5
463,9
464,10
465,3
466,11
467,9
468,4
469,6
470,3
471,9
472,11
473,6
474,4
475,10
476,10
477,9
478,15
479,10
480,6
