,0
0,8
1,12
2,6
3,8
4,11
5,7
6,11
7,9
8,3
9,10
10,12
11,12
12,7
13,9
14,12
15,14
16,5
17,5
18,6
19,5
20,9
21,7
22,8
23,4
24,8
25,7
26,9
27,8
28,10
29,7
30,6
31,9
32,14
33,13
34,6
35,4
36,6
37,6
38,10
39,11
40,6
41,9
42,4
43,11
44,6
45,19
46,13
47,8
48,6
49,5
50,18
51,10
52,9
53,10
54,8
55,6
56,14
57,6
58,5
59,6
60,9
61,8
62,6
63,3
64,8
65,5
66,8
67,4
68,13
69,9
70,10
71,9
72,8
73,6
74,10
75,6
76,7
77,10
78,12
79,6
80,4
81,8
82,8
83,6
84,9
85,7
86,7
87,6
88,11
89,11
90,8
91,7
92,5
93,7
94,19
95,7
96,9
97,5
98,8
99,6
100,4
101,8
102,11
103,4
104,10
105,9
106,10
107,9
108,8
109,11
110,15
111,12
112,4
113,12
114,9
115,16
116,4
117,11
118,6
119,5
120,12
121,8
122,16
123,7
124,9
125,8
126,9
127,7
128,11
129,10
130,9
131,8
132,7
133,12
134,11
135,6
136,11
137,12
138,8
139,7
140,8
141,6
142,8
143,3
144,7
145,11
146,8
147,8
148,7
149,10
150,6
151,14
152,6
153,12
154,13
155,15
156,9
157,6
158,10
159,11
160,11
161,6
162,7
163,5
164,8
165,7
166,7
167,7
168,6
169,4
170,12
171,8
172,6
173,8
174,4
175,8
176,3
177,15
178,9
179,4
180,5
181,6
182,10
183,5
184,9
185,9
186,9
187,11
188,11
189,13
190,12
191,6
192,13
193,8
194,6
195,9
196,7
197,8
198,9
199,14
200,6
201,8
202,10
203,8
204,10
205,5
206,5
207,10
208,8
209,9
210,15
211,7
212,10
213,8
214,8
215,8
216,5
217,12
218,9
219,7
220,8
221,13
222,20
223,6
224,15
225,8
226,6
227,15
228,11
229,7
230,17
231,5
232,11
233,14
234,12
235,11
236,10
237,7
238,6
239,9
240,6
241,10
242,10
243,9
244,9
245,10
246,7
247,5
248,14
249,10
250,10
251,4
252,15
253,8
254,10
255,8
256,8
257,15
258,7
259,7
260,10
261,13
262,8
263,10
264,8
265,10
266,5
267,6
268,11
269,5
270,14
271,12
272,8
273,7
274,4
275,9
276,12
277,8
278,8
279,9
280,7
281,10
282,6
283,12
284,9
285,6
286,12
287,8
288,6
289,14
290,9
291,11
292,13
293,12
294,5
295,8
296,8
297,11
298,8
299,6
300,9
301,10
302,5
303,7
304,8
305,9
306,5
307,5
308,7
309,4
310,9
311,4
312,5
313,8
314,7
315,7
316,6
317,5
318,9
319,5
320,8
321,6
322,8
323,11
324,15
325,13
326,18
327,10
328,7
329,7
330,7
331,13
332,5
333,18
334,9
335,8
336,7
337,9
338,4
339,9
340,11
341,8
342,15
343,13
344,8
345,9
346,17
347,10
348,7
349,11
350,9
351,7
352,13
353,11
354,8
355,7
356,10
357,11
358,13
359,14
360,4
361,7
362,10
363,14
364,7
365,6
366,13
367,21
368,11
369,6
370,7
371,4
372,11
373,8
374,16
375,6
376,13
377,4
378,16
379,8
380,8
381,8
382,7
383,13
384,9
385,7
386,7
387,7
388,8
389,11
390,7
391,6
392,7
393,12
394,10
395,6
396,7
397,8
398,6
399,9
400,8
401,9
402,8
403,9
404,11
405,5
406,14
407,11
408,4
409,4
410,9
411,3
412,10
413,12
414,8
415,5
416,11
417,13
418,6
419,10
420,13
421,14
422,10
423,9
424,12
425,15
426,13
427,8
428,10
429,8
430,13
431,11
432,9
433,11
434,5
435,15
436,8
437,4
438,5
439,8
440,13
441,4
442,8
443,12
444,10
445,11
446,4
447,7
448,10
449,11
450,3
451,6
452,9
453,10
454,9
455,4
456,6
457,9
458,12
459,9
460,7
461,12
462,10
463,3
464,12
465,11
466,9
467,12
468,8
469,4
470,5
471,6
472,9
473,9
474,7
475,14
476,6
477,11
478,6
479,7
480,6
481,7
482,9
483,7
484,7
485,7
486,5
487,10
488,7
489,8
490,8
491,6
492,8
493,10
494,8
495,4
496,5
497,11
498,8
499,12
500,11
501,10
502,9
503,4
504,8
505,6
506,4
507,6
508,7
509,12
510,4
511,6
512,6
513,7
514,8
515,8
516,10
517,9
518,12
519,5
520,12
521,4
522,8
523,10
524,8
525,3
526,6
527,6
528,11
529,8
530,9
531,10
532,10
533,15
534,11
535,9
536,16
537,6
538,7
539,11
540,18
541,7
542,8
543,7
544,8
545,7
546,7
547,13
548,11
549,7
550,14
551,9
552,11
553,17
554,7
555,5
556,9
557,12
558,9
559,10
560,8
561,4
562,12
563,9
564,6
565,9
566,13
567,6
568,18
569,5
570,11
571,12
572,9
573,8
574,13
575,5
576,7
577,12
578,13
579,4
580,14
581,7
582,15
583,15
584,10
585,7
586,9
587,12
588,4
589,17
590,8
591,8
592,10
593,11
594,6
595,9
596,9
597,9
598,8
599,9
600,9
601,7
602,9
603,12
604,7
605,5
606,6
607,10
608,8
609,6
610,20
611,16
612,8
613,6
614,8
615,12
616,15
617,9
618,6
619,5
620,9
621,5
622,9
623,16
624,9
625,12
626,6
627,4
628,7
629,9
630,8
631,8
632,6
633,6
634,14
635,11
636,10
637,10
638,19
639,13
640,12
641,6
642,6
643,8
644,7
645,5
646,11
647,9
648,13
649,11
650,6
651,12
652,10
653,8
654,7
655,8
656,13
657,9
658,11
659,15
660,12
661,9
662,5
663,19
664,5
665,10
666,5
667,8
668,6
669,17
670,10
671,17
672,15
673,9
674,20
675,8
676,11
677,5
678,14
679,5
680,8
681,15
682,9
683,10
684,6
685,5
686,12
687,9
688,7
689,6
690,8
691,5
692,5
693,6
694,9
695,11
696,11
697,9
698,8
699,7
700,6
701,13
702,7
703,6
704,15
705,13
706,4
707,9
708,13
709,20
710,10
711,11
712,13
713,11
714,15
715,4
716,11
717,5
718,16
719,13
720,4
721,5
722,14
723,7
724,17
725,12
726,8
727,4
728,18
729,7
730,4
731,8
732,15
733,8
734,7
735,7
736,9
737,12
738,12
739,7
740,8
741,10
742,13
743,10
744,12
745,10
746,6
747,9
748,11
749,6
750,8
751,8
752,11
753,9
754,9
755,7
756,11
757,8
758,10
759,7
760,13
761,7
762,6
763,8
764,6
765,8
766,3
767,17
768,13
769,9
770,11
771,11
772,11
773,10
774,6
775,9
776,10
777,10
778,8
779,6
780,6
781,12
782,8
783,8
784,8
785,11
786,8
787,6
788,7
789,12
790,8
791,5
792,5
793,6
794,10
795,7
796,12
797,15
798,8
799,12
800,7
801,14
802,6
803,7
804,14
805,9
806,5
807,11
808,10
809,9
810,10
811,10
812,8
813,12
814,7
815,7
816,4
817,3
818,12
819,7
820,13
821,11
822,4
823,12
824,8
825,13
826,15
827,9
828,11
829,6
830,7
831,12
832,8
833,10
834,9
835,9
836,14
837,7
838,9
839,8
840,5
841,8
842,15
843,12
844,8
845,5
846,12
847,7
848,9
849,19
850,10
851,5
852,13
853,9
854,5
855,13
856,6
857,12
858,14
859,9
860,9
861,11
862,11
863,7
864,3
865,11
866,11
867,11
868,7
869,6
870,7
871,9
872,13
873,8
874,8
875,6
876,13
877,11
878,16
879,4
880,11
881,12
882,21
883,6
884,9
885,13
886,12
887,12
888,10
889,8
890,10
891,10
892,4
893,15
894,6
895,13
896,5
897,7
898,7
899,8
900,10
901,4
902,9
903,8
904,9
905,10
906,12
907,9
908,7
909,12
910,8
911,10
912,6
913,4
914,9
915,7
916,12
917,8
918,10
919,7
920,8
921,5
922,7
923,11
924,7
925,11
926,3
927,10
928,13
929,9
930,6
931,6
932,7
933,11
934,7
935,9
936,10
937,7
938,10
939,8
940,11
941,10
942,10
943,6
944,9
945,15
946,12
947,6
948,8
949,8
950,4
951,4
952,7
953,10
954,5
955,6
956,10
957,10
958,9
959,7
960,9
961,13
962,6
963,5
964,3
965,14
966,6
967,6
968,8
969,6
970,14
971,14
972,17
973,3
974,5
975,7
976,6
977,8
978,11
979,8
980,12
981,9
982,7
983,6
984,5
985,9
986,9
987,16
988,8
989,12
990,7
991,11
992,12
993,13
994,6
995,6
996,6
997,6
998,9
999,13
