,0
0,13
1,6
2,12
3,6
4,6
5,3
6,5
7,4
8,6
9,4
10,6
11,6
12,6
13,4
14,6
15,5
16,5
17,5
18,4
19,4
20,5
21,5
22,4
23,4
24,9
25,4
26,3
27,7
28,4
29,6
30,7
31,7
32,3
33,8
34,8
35,5
36,3
37,7
38,4
39,5
40,5
41,8
42,5
43,6
44,6
45,5
46,3
47,6
48,6
49,3
50,4
51,5
52,8
53,6
54,7
55,6
56,4
57,7
58,5
59,8
60,4
61,4
62,4
63,7
64,4
65,7
66,4
67,4
68,3
69,6
70,5
71,4
72,8
73,6
74,5
75,7
76,5
77,7
78,3
79,7
80,5
81,6
82,4
83,6
84,6
85,4
86,7
87,6
88,4
89,3
90,4
91,7
92,5
93,5
94,4
95,5
96,5
97,3
98,5
99,4
100,7
101,9
102,7
103,6
104,9
105,5
106,10
107,8
108,14
109,7
110,6
111,8
112,15
113,9
114,11
115,9
116,12
117,6
118,6
119,15
120,8
121,10
122,5
123,8
124,9
125,10
126,3
127,4
128,5
129,13
130,15
131,20
132,6
133,8
134,12
135,9
136,7
137,7
138,4
139,6
140,6
141,11
142,8
143,5
144,10
145,3
146,7
147,6
148,7
149,6
150,9
151,11
152,9
153,11
154,5
155,6
156,6
157,9
158,10
159,6
160,6
161,4
162,7
163,7
164,6
165,4
166,10
167,9
168,7
169,7
170,8
171,6
172,5
173,13
174,7
175,7
176,7
177,9
178,9
179,6
180,9
181,6
182,7
183,7
184,7
185,7
186,8
187,12
188,5
189,10
190,5
191,7
192,7
193,5
194,5
195,6
196,5
197,6
198,3
199,7
200,7
201,13
202,5
203,13
204,6
205,11
206,5
207,6
208,5
209,9
210,6
211,8
212,6
213,10
214,5
215,15
216,6
217,8
218,6
219,12
220,6
221,5
222,8
223,6
224,7
225,9
226,9
227,5
228,5
229,5
230,7
231,12
232,9
233,7
234,7
235,11
236,4
237,12
238,9
239,11
240,12
241,10
242,9
243,15
244,10
245,9
246,11
247,11
248,10
249,7
250,6
251,14
252,12
253,10
254,13
255,6
256,17
257,8
258,10
259,8
260,8
261,13
262,12
263,9
264,10
265,12
266,7
267,13
268,13
269,10
270,13
271,13
272,5
273,8
274,7
275,13
276,6
277,13
278,11
279,13
280,9
281,15
282,8
283,12
284,12
285,7
286,8
287,11
288,10
289,12
290,13
291,12
292,7
293,10
294,15
295,5
296,8
297,10
298,9
299,8
300,10
301,8
302,11
303,10
304,11
305,12
306,14
307,15
308,12
309,11
310,7
311,7
312,11
313,10
314,8
315,10
316,9
317,7
318,10
319,6
320,11
321,15
322,10
323,10
324,10
325,14
326,9
327,13
328,17
329,7
330,10
331,10
332,14
333,5
334,14
335,10
336,10
337,9
338,12
339,11
340,9
341,14
342,11
343,11
344,11
345,8
346,11
347,13
348,9
349,7
350,11
351,11
352,8
353,18
354,16
355,8
356,9
357,10
358,7
359,10
360,10
361,15
362,11
363,11
364,5
365,5
366,12
367,22
368,6
369,9
370,8
371,13
372,6
373,14
374,9
375,15
376,12
377,26
378,7
379,12
380,9
381,8
382,7
383,12
384,15
385,9
386,16
387,11
388,15
389,11
390,9
391,8
392,8
393,14
394,10
395,16
396,15
397,7
398,9
399,16
400,14
401,10
402,10
403,9
404,13
405,9
406,9
407,7
408,15
409,15
410,8
411,8
412,16
413,4
414,10
415,10
416,12
417,6
418,18
419,8
420,12
421,8
422,23
423,8
424,9
425,9
426,7
427,3
428,5
429,6
430,7
431,8
432,7
433,6
434,7
435,8
436,5
437,3
438,7
439,10
440,18
441,8
442,6
443,5
444,6
445,4
446,6
447,14
448,11
449,6
450,11
451,5
452,6
453,8
454,3
455,6
456,5
457,11
458,8
459,9
460,7
461,4
462,5
463,10
464,14
465,3
466,7
467,6
468,8
469,7
470,7
471,10
472,6
473,6
474,7
475,12
476,4
477,14
478,5
479,5
480,8
481,6
482,12
483,7
484,6
485,9
486,5
487,12
488,7
489,5
490,9
491,6
492,4
493,5
494,5
495,14
496,4
497,9
498,7
499,9
500,10
501,8
502,5
503,4
504,4
505,12
506,17
507,9
508,7
509,13
510,12
511,9
512,12
513,5
514,5
515,6
516,10
517,9
518,9
519,8
520,8
521,8
522,9
523,6
524,12
525,7
526,10
527,8
528,9
529,4
530,8
531,5
532,10
533,6
534,5
535,6
536,10
537,5
538,10
539,8
540,7
541,9
542,8
543,4
544,11
545,4
546,8
547,10
548,6
549,6
550,7
551,5
552,6
553,7
554,5
555,6
556,4
557,6
558,6
559,7
560,8
561,9
562,5
563,3
564,7
565,9
566,3
567,6
568,8
569,6
570,7
571,10
572,11
573,8
574,6
575,8
576,8
577,7
578,7
579,7
580,8
581,5
582,11
583,5
584,6
585,5
586,4
587,9
588,10
589,8
590,3
591,6
592,11
593,5
594,14
595,7
596,9
597,10
598,8
599,3
600,5
601,8
602,9
603,8
604,10
605,9
606,6
607,7
608,8
609,6
610,10
611,7
612,12
613,8
614,11
615,11
616,6
617,8
618,10
619,4
620,4
621,6
622,5
623,7
624,13
625,9
626,9
627,11
628,12
629,4
630,8
631,8
632,7
633,9
634,8
635,5
636,7
637,8
638,6
639,9
640,6
641,7
642,9
643,8
644,3
645,9
646,12
647,8
648,7
649,4
650,5
651,9
652,12
653,8
654,5
655,5
656,6
657,7
658,8
659,6
660,13
661,6
662,3
663,12
664,7
665,5
666,9
667,8
668,6
669,6
670,17
671,6
672,9
673,4
674,5
675,8
676,7
677,8
678,7
679,2
680,4
681,7
682,4
683,6
684,4
685,9
686,7
687,3
688,7
689,4
690,6
691,6
692,5
693,8
694,5
695,15
696,12
697,8
698,4
699,1
700,8
701,14
702,7
703,11
704,12
705,19
706,9
707,8
708,5
709,8
710,6
711,5
712,5
713,8
714,9
715,6
716,4
717,9
718,4
719,8
720,5
721,9
722,6
723,4
724,4
725,13
726,8
727,5
728,12
729,7
730,7
731,7
732,5
733,10
734,11
735,8
736,8
737,8
738,8
739,4
740,8
741,6
742,13
743,18
744,11
745,10
746,7
747,13
748,6
749,15
750,9
751,10
752,8
753,12
754,22
755,7
756,21
757,12
758,10
759,8
760,10
761,7
762,7
763,8
764,7
765,13
766,9
767,8
768,9
769,8
770,8
771,9
772,3
773,14
774,14
775,6
776,11
777,13
778,12
779,5
780,10
781,14
782,6
783,3
784,10
785,8
786,8
787,10
788,14
789,13
790,12
791,13
792,4
793,7
794,8
795,11
796,3
797,7
798,9
799,11
800,10
801,11
802,11
803,4
804,6
805,3
806,10
807,8
808,6
809,13
810,8
811,17
812,6
813,12
814,10
815,14
816,6
817,7
818,8
819,11
820,10
821,10
822,5
823,12
824,9
825,5
826,8
827,6
828,10
829,9
830,5
831,8
832,3
833,10
834,8
835,6
836,11
837,4
838,6
839,8
840,7
841,7
842,3
843,6
844,9
845,8
846,11
847,5
848,9
849,5
850,6
851,4
852,13
853,5
854,10
855,4
856,11
857,11
858,4
859,2
860,4
861,3
862,7
863,7
864,12
865,5
866,4
867,11
868,13
869,6
870,6
871,8
872,11
873,8
874,7
875,5
876,8
877,7
878,5
879,6
880,10
881,11
882,11
883,13
884,14
885,10
886,15
887,10
888,10
889,5
890,13
891,13
892,7
893,8
894,13
895,8
896,14
897,10
898,7
899,12
900,5
901,13
902,9
903,11
904,8
905,9
906,12
907,12
908,14
909,9
910,16
911,16
912,10
913,14
914,8
915,6
916,7
917,8
918,10
919,8
920,9
921,13
922,10
923,10
924,6
925,6
926,6
927,9
928,17
929,6
930,5
931,13
932,8
933,8
934,18
935,8
936,13
937,5
938,10
939,9
940,12
941,8
942,10
943,11
944,8
945,13
946,15
947,6
948,7
949,5
950,12
951,5
952,8
953,7
954,10
955,6
956,7
957,10
958,6
959,14
960,9
961,7
962,8
963,6
964,10
965,4
966,8
967,7
968,5
969,12
970,7
971,13
972,13
973,7
974,14
975,15
976,6
977,5
978,8
979,14
980,11
981,10
982,8
983,8
984,9
985,11
986,6
987,13
988,8
989,10
990,8
991,8
992,7
993,9
994,11
995,5
996,8
997,10
998,4
999,6
1000,7
1001,5
1002,6
1003,5
1004,8
1005,11
1006,6
1007,14
1008,5
1009,7
1010,9
1011,6
1012,6
1013,8
1014,8
1015,7
1016,10
1017,4
1018,7
1019,7
1020,13
1021,6
1022,5
1023,6
1024,8
1025,7
1026,6
1027,4
1028,9
1029,8
1030,6
1031,6
1032,6
1033,7
1034,5
1035,7
1036,8
1037,8
1038,8
1039,11
1040,7
1041,6
1042,15
1043,10
1044,5
1045,12
1046,6
1047,3
1048,5
1049,4
1050,9
1051,5
1052,5
1053,5
1054,8
1055,5
1056,12
1057,6
1058,9
1059,7
1060,6
1061,7
1062,4
1063,6
1064,9
1065,13
1066,5
1067,5
1068,5
1069,9
1070,5
1071,6
1072,5
1073,8
1074,5
1075,5
1076,9
1077,7
1078,6
1079,6
1080,7
1081,5
1082,6
1083,7
1084,7
1085,6
1086,6
1087,8
1088,6
1089,8
1090,8
1091,7
1092,4
1093,7
1094,4
1095,8
1096,9
1097,4
1098,9
1099,8
1100,4
1101,7
1102,12
1103,12
1104,11
1105,6
1106,11
1107,12
1108,8
1109,11
1110,9
1111,7
1112,8
1113,11
1114,7
1115,9
1116,13
1117,10
1118,11
1119,7
1120,8
1121,10
1122,7
1123,10
1124,5
1125,10
1126,9
1127,12
1128,13
1129,6
1130,11
1131,13
1132,8
1133,9
1134,6
1135,11
1136,10
1137,11
1138,10
1139,7
1140,11
1141,11
1142,10
1143,9
1144,8
1145,11
1146,6
1147,10
1148,9
1149,7
1150,6
1151,8
1152,6
1153,7
1154,5
1155,9
1156,8
1157,10
1158,8
1159,8
1160,8
1161,10
1162,7
1163,8
1164,12
1165,8
1166,6
1167,7
1168,9
1169,8
1170,8
1171,10
1172,7
1173,9
1174,11
1175,9
1176,9
1177,10
1178,12
1179,8
1180,5
1181,9
1182,10
1183,9
1184,6
1185,7
1186,9
1187,9
1188,8
1189,5
1190,8
1191,5
1192,6
1193,12
1194,10
1195,9
1196,13
1197,8
1198,10
1199,13
1200,13
1201,9
1202,8
1203,5
1204,12
1205,8
1206,14
1207,6
1208,8
1209,6
1210,12
1211,9
1212,8
1213,12
1214,4
1215,6
1216,8
1217,10
1218,10
1219,7
1220,8
1221,10
1222,14
1223,9
1224,3
1225,11
1226,7
1227,10
1228,8
1229,7
1230,15
1231,5
1232,8
1233,7
1234,5
1235,10
1236,8
1237,7
1238,15
1239,8
1240,11
1241,14
1242,11
1243,11
1244,11
1245,8
1246,13
1247,7
1248,8
1249,6
1250,11
1251,8
1252,9
1253,19
1254,8
1255,7
1256,7
1257,5
1258,7
1259,9
1260,11
1261,5
1262,8
1263,8
1264,12
1265,8
1266,7
1267,7
1268,10
1269,16
1270,7
1271,8
1272,10
1273,10
1274,10
1275,7
1276,10
1277,9
1278,10
1279,9
1280,7
1281,6
1282,10
1283,7
1284,4
1285,4
1286,7
1287,8
1288,8
1289,7
1290,8
1291,7
1292,11
1293,6
1294,7
1295,6
1296,7
1297,6
1298,6
1299,8
1300,6
1301,10
1302,7
1303,4
1304,8
1305,12
1306,13
1307,3
1308,5
1309,9
1310,8
1311,11
1312,13
1313,8
1314,7
1315,8
1316,9
1317,4
1318,5
1319,9
1320,3
1321,4
1322,7
1323,9
1324,4
1325,7
1326,10
1327,6
1328,6
1329,9
1330,6
1331,7
1332,6
1333,8
1334,7
1335,7
1336,8
1337,7
1338,13
1339,7
1340,4
1341,9
1342,6
1343,3
1344,10
1345,6
1346,6
1347,4
1348,5
1349,4
1350,9
1351,4
1352,4
1353,10
1354,7
1355,5
1356,8
1357,3
1358,4
1359,4
1360,3
1361,6
1362,6
1363,6
1364,4
1365,6
1366,8
1367,4
1368,7
1369,4
1370,7
1371,8
1372,5
1373,7
1374,6
1375,8
1376,7
1377,10
1378,5
1379,5
1380,3
1381,9
1382,18
1383,6
1384,12
1385,15
1386,7
1387,9
1388,9
1389,10
1390,12
1391,14
1392,7
1393,10
1394,8
1395,8
1396,13
1397,13
1398,4
1399,8
1400,14
1401,12
1402,12
1403,10
1404,14
1405,8
1406,10
1407,7
1408,13
1409,7
1410,11
1411,10
1412,12
1413,11
1414,11
1415,7
1416,6
1417,7
1418,8
1419,4
1420,9
1421,5
1422,7
1423,11
1424,9
1425,4
1426,9
1427,12
1428,14
1429,11
1430,14
1431,15
1432,7
1433,12
1434,8
1435,6
1436,8
1437,5
1438,10
1439,10
1440,8
1441,9
1442,11
1443,7
1444,6
1445,9
1446,8
1447,9
1448,10
1449,10
1450,10
1451,9
1452,13
1453,6
1454,7
1455,10
1456,4
1457,13
1458,12
1459,9
1460,11
1461,12
1462,7
1463,12
1464,6
1465,12
1466,8
1467,11
1468,13
1469,12
1470,10
1471,7
1472,15
1473,14
1474,14
1475,11
1476,6
1477,6
1478,8
1479,11
1480,6
1481,7
1482,9
1483,9
1484,7
1485,12
1486,13
1487,6
1488,6
1489,7
1490,5
1491,4
1492,8
1493,7
1494,8
1495,6
1496,7
1497,6
1498,5
1499,7
1500,8
1501,8
1502,6
1503,8
1504,9
1505,7
1506,8
1507,9
1508,6
1509,8
1510,7
1511,3
1512,10
1513,8
1514,11
1515,6
1516,7
1517,7
1518,9
1519,7
1520,6
1521,7
1522,12
1523,10
1524,6
1525,6
1526,6
1527,9
1528,9
1529,13
1530,5
1531,6
1532,6
1533,8
1534,3
1535,7
1536,7
1537,7
1538,5
1539,7
1540,6
1541,8
1542,6
1543,3
1544,8
1545,7
1546,6
1547,7
1548,8
1549,9
1550,10
1551,9
1552,11
1553,6
1554,7
1555,7
1556,8
1557,6
1558,7
1559,6
1560,6
1561,6
1562,9
1563,11
1564,9
1565,8
1566,4
1567,10
1568,4
1569,8
1570,5
1571,8
1572,4
1573,6
1574,6
1575,6
1576,6
1577,4
1578,8
1579,13
1580,4
1581,7
1582,6
1583,6
1584,6
1585,5
1586,7
1587,7
1588,7
1589,12
1590,10
1591,5
1592,8
1593,6
1594,13
1595,6
1596,5
1597,5
1598,10
1599,6
1600,5
1601,11
1602,5
1603,7
1604,6
1605,3
1606,11
1607,5
1608,4
1609,4
1610,9
1611,5
1612,6
1613,5
1614,6
1615,7
1616,6
1617,8
1618,6
1619,6
1620,11
1621,5
1622,8
1623,6
1624,8
1625,9
1626,10
1627,8
1628,4
1629,8
1630,9
1631,14
1632,12
1633,19
1634,11
1635,11
1636,15
1637,4
1638,12
1639,10
1640,12
1641,9
1642,10
1643,4
1644,6
1645,10
1646,14
1647,11
1648,4
1649,6
1650,10
1651,6
1652,7
1653,13
1654,12
1655,12
1656,12
1657,7
1658,11
1659,11
1660,13
1661,6
1662,7
1663,14
1664,12
1665,12
1666,9
1667,12
1668,13
1669,13
1670,12
1671,12
1672,14
1673,7
1674,9
1675,8
1676,11
1677,9
1678,13
1679,10
1680,11
1681,11
1682,10
1683,9
1684,15
1685,11
1686,12
1687,7
1688,18
1689,10
1690,11
1691,17
1692,18
1693,8
1694,14
1695,10
1696,7
1697,8
1698,10
1699,21
1700,11
1701,15
1702,15
1703,12
1704,17
1705,11
1706,13
1707,14
1708,16
1709,8
1710,13
1711,11
1712,11
1713,11
1714,14
1715,21
1716,11
1717,23
1718,15
1719,17
1720,10
1721,9
1722,14
1723,6
1724,6
1725,21
1726,14
1727,13
1728,17
1729,16
1730,9
1731,20
1732,19
1733,7
1734,12
1735,16
1736,13
1737,12
1738,18
1739,9
1740,8
1741,9
1742,10
1743,18
1744,12
1745,9
1746,9
1747,19
1748,15
1749,16
1750,14
1751,10
1752,8
1753,15
1754,13
1755,9
1756,12
1757,9
1758,5
1759,6
1760,9
1761,10
1762,9
1763,7
1764,10
1765,6
1766,11
1767,8
1768,11
1769,9
1770,13
1771,11
1772,6
1773,8
1774,12
1775,12
1776,10
1777,5
1778,7
1779,6
1780,9
1781,7
1782,5
1783,12
1784,9
1785,7
1786,6
1787,8
1788,4
1789,8
1790,8
1791,7
1792,4
1793,5
1794,8
1795,9
1796,8
1797,8
1798,7
1799,4
1800,9
1801,5
1802,6
1803,9
1804,9
1805,8
1806,7
1807,5
1808,5
1809,8
1810,6
1811,7
1812,11
1813,8
1814,7
1815,6
1816,5
1817,5
1818,9
1819,6
1820,4
1821,12
1822,6
1823,8
1824,4
1825,9
1826,6
1827,12
1828,7
1829,10
1830,8
1831,5
1832,5
1833,10
1834,5
1835,9
1836,5
1837,9
1838,7
1839,6
1840,9
1841,8
1842,5
1843,7
1844,11
1845,6
1846,6
1847,5
1848,7
1849,10
1850,5
1851,6
1852,10
1853,6
1854,7
1855,7
1856,9
1857,5
1858,6
1859,7
1860,11
1861,13
1862,5
1863,7
1864,4
1865,8
1866,6
1867,10
1868,7
1869,9
1870,6
1871,3
1872,10
1873,5
1874,5
1875,4
1876,7
1877,7
1878,4
1879,6
1880,10
1881,7
1882,8
1883,13
1884,16
1885,10
1886,14
1887,9
1888,9
1889,12
1890,13
1891,12
1892,8
1893,13
1894,12
1895,10
1896,9
1897,17
1898,20
1899,11
1900,8
1901,11
1902,10
1903,13
1904,6
1905,11
1906,10
1907,12
1908,11
1909,8
1910,11
1911,10
1912,11
1913,5
1914,9
1915,10
1916,12
1917,13
1918,16
1919,11
1920,5
1921,13
1922,11
1923,9
1924,13
1925,17
1926,9
1927,15
1928,8
1929,19
1930,16
1931,16
1932,11
1933,14
1934,22
1935,7
1936,8
1937,16
1938,4
1939,4
1940,11
1941,14
1942,14
1943,13
1944,5
1945,14
1946,8
1947,9
1948,10
1949,9
1950,8
1951,10
1952,11
1953,18
1954,10
1955,10
1956,13
1957,9
1958,11
1959,12
1960,15
1961,8
1962,11
1963,6
1964,15
1965,9
1966,5
1967,14
1968,5
1969,5
1970,12
1971,8
1972,11
1973,7
1974,11
1975,16
1976,11
1977,12
1978,6
1979,11
1980,9
1981,20
1982,7
1983,11
1984,13
1985,12
1986,8
1987,14
1988,7
1989,10
1990,8
1991,10
1992,9
1993,6
1994,9
1995,6
1996,6
1997,8
1998,16
1999,10
2000,12
2001,7
2002,15
2003,10
2004,8
2005,10
2006,7
2007,8
2008,6
2009,9
2010,7
2011,9
2012,11
2013,5
2014,11
2015,6
2016,6
2017,3
2018,7
2019,7
2020,6
2021,6
2022,4
2023,5
2024,4
2025,7
2026,7
2027,4
2028,6
2029,8
2030,11
2031,6
2032,10
2033,6
2034,5
2035,7
2036,5
2037,8
2038,5
2039,11
2040,4
2041,5
2042,4
2043,8
2044,9
2045,5
2046,7
2047,10
2048,7
2049,8
2050,7
2051,10
2052,8
2053,4
2054,4
2055,5
2056,4
2057,5
2058,7
2059,8
2060,5
2061,6
2062,9
2063,6
2064,4
2065,4
2066,5
2067,7
2068,4
2069,9
2070,8
2071,9
2072,7
2073,6
2074,6
2075,6
2076,6
2077,9
2078,6
2079,8
2080,9
2081,5
2082,4
2083,4
2084,8
2085,8
2086,4
2087,5
2088,6
2089,5
2090,4
2091,5
2092,5
2093,5
2094,3
2095,6
2096,6
2097,7
2098,10
2099,6
2100,4
2101,8
2102,7
2103,8
2104,9
2105,7
2106,4
2107,7
2108,10
2109,3
2110,6
2111,3
2112,4
2113,6
2114,9
2115,8
2116,11
2117,9
2118,7
2119,14
2120,9
2121,6
2122,5
2123,3
2124,9
2125,11
2126,7
2127,5
2128,6
2129,4
2130,8
2131,8
2132,3
2133,9
2134,4
2135,6
2136,11
2137,9
2138,7
2139,8
2140,6
2141,5
2142,8
2143,8
2144,9
2145,7
2146,12
2147,8
2148,10
2149,7
2150,10
2151,7
2152,5
2153,9
2154,6
2155,5
2156,7
2157,8
2158,9
2159,10
2160,3
2161,10
2162,7
2163,6
2164,8
2165,14
2166,8
2167,12
2168,9
2169,9
2170,9
2171,11
2172,9
2173,9
2174,6
2175,11
2176,8
2177,8
2178,16
2179,5
2180,7
2181,10
2182,9
2183,9
2184,9
2185,11
2186,13
2187,9
2188,8
2189,9
2190,9
2191,8
2192,11
2193,8
2194,8
2195,10
2196,12
2197,12
2198,7
2199,7
2200,10
2201,13
2202,5
2203,11
2204,10
2205,10
2206,15
2207,8
2208,12
2209,12
2210,8
2211,4
2212,9
2213,7
2214,10
2215,7
2216,8
2217,6
2218,9
2219,4
2220,8
2221,8
2222,8
2223,9
2224,11
2225,8
2226,13
2227,8
2228,8
2229,13
2230,6
2231,13
2232,11
2233,7
2234,9
2235,6
2236,11
2237,5
2238,8
2239,8
2240,8
2241,17
2242,8
2243,6
2244,5
2245,6
2246,6
2247,5
2248,8
2249,7
2250,14
2251,15
2252,10
2253,5
2254,7
2255,5
2256,9
2257,14
2258,6
2259,8
2260,8
2261,6
2262,10
2263,10
2264,13
2265,7
2266,8
2267,7
2268,11
2269,10
2270,6
2271,10
2272,14
2273,9
2274,3
2275,12
2276,8
2277,7
2278,6
2279,15
2280,10
2281,7
2282,14
2283,8
2284,9
2285,11
2286,13
2287,9
2288,13
2289,7
2290,14
2291,8
2292,11
2293,14
2294,8
2295,12
2296,8
2297,13
2298,11
2299,6
2300,8
2301,9
2302,8
2303,10
2304,6
2305,9
2306,12
2307,11
2308,5
2309,10
2310,15
2311,13
2312,7
2313,13
2314,8
2315,9
2316,9
2317,10
2318,8
2319,7
2320,4
