,pmi,pcent
never,0.5015181380147442,0.0760190047511878
no,0.49888518339407284,0.16004001000250062
any,0.3506751867992063,0.06601650412603151
nothing,0.2680162778988377,0.026756689172293072
only,0.21631758624380984,0.06626656664166042
not,0.20136131725231138,0.20305076269067268
anything,0.1930168459107026,0.022005501375343836
all,0.19135581914333055,0.09177294323580895
nobody,0.1836830273922758,0.011752938234558639
always,0.17754827804129686,0.02725681420355089
completely,0.16064049073263068,0.011502875718929733
everyone,0.15777327558869333,0.0172543135783946
did,0.1513873663460752,0.040260065016254065
does,0.14979836508839456,0.035508877219304825
ever,0.13621020483454901,0.019504876219054765
doesnt,0.11142573516091707,0.024006001500375095
anyone,0.10800952382940318,0.010002500625156289
everything,0.10271850619498772,0.010002500625156289
refused,0.10265415406008337,0.005751437859464866
care,0.10045157930474359,0.010752688172043012
