,0
0,14
1,7
2,5
3,9
4,12
5,7
6,6
7,7
8,9
9,3
10,14
11,8
12,11
13,5
14,5
15,5
16,5
17,11
18,7
19,4
20,5
21,11
22,4
23,8
24,9
25,6
26,9
27,8
28,6
29,7
30,6
31,9
32,7
33,6
34,6
35,7
36,7
37,6
38,10
39,8
40,10
41,5
42,10
43,8
44,7
45,5
46,7
47,5
48,8
49,3
50,5
51,9
52,9
53,5
54,6
55,3
56,7
57,8
58,5
59,7
60,10
61,9
62,5
63,9
64,7
65,9
66,8
67,7
68,6
69,8
70,5
71,7
72,8
73,5
74,9
75,9
76,9
77,8
78,10
79,8
80,4
81,5
82,5
83,6
84,7
85,5
86,7
87,7
88,4
89,6
90,9
91,6
92,9
93,3
94,9
95,8
96,4
97,9
98,11
99,12
100,4
101,8
102,8
103,5
104,4
105,5
106,5
107,6
108,11
109,5
110,9
111,11
112,14
113,4
114,6
115,7
116,7
117,5
118,3
119,6
120,6
121,8
122,9
123,6
124,7
125,10
126,8
127,8
128,9
129,7
130,10
131,9
132,15
133,6
134,10
135,9
136,9
137,9
138,11
139,7
140,6
141,9
142,11
143,14
144,7
145,10
146,8
147,12
148,13
149,13
150,7
151,10
152,8
153,5
154,14
155,9
156,3
157,6
158,10
159,13
160,13
161,9
162,9
163,7
164,6
165,8
166,9
167,7
168,7
169,11
170,6
171,8
172,5
173,9
174,6
175,6
176,3
177,3
178,12
179,11
180,17
181,14
182,7
183,9
184,10
185,8
186,8
187,6
188,11
189,13
190,8
191,10
192,11
193,15
194,12
195,5
196,12
197,11
198,14
199,12
200,11
201,7
202,8
203,9
204,7
205,9
206,11
207,10
208,10
209,11
210,8
211,14
212,8
213,9
214,9
215,10
216,8
217,13
218,7
219,13
220,13
221,11
222,10
223,14
224,12
225,10
226,10
227,12
228,5
229,7
230,9
231,10
232,9
233,14
234,7
235,11
236,10
237,9
238,11
239,9
240,12
241,8
242,10
243,10
244,13
245,15
246,12
247,8
248,10
249,10
250,12
251,10
252,17
253,11
254,14
255,11
256,9
257,14
258,11
259,8
260,10
261,17
262,13
263,6
264,12
265,13
266,14
267,9
268,18
269,13
270,8
271,13
272,13
273,14
274,11
275,8
276,7
277,4
278,8
279,19
280,12
281,6
282,5
283,12
284,15
285,10
286,19
287,8
288,4
289,13
290,15
291,13
292,17
293,8
294,7
295,11
296,10
297,11
298,4
299,6
300,17
301,6
302,16
303,8
304,7
305,7
306,6
307,14
308,10
309,6
310,10
311,12
312,11
313,15
314,7
315,20
316,12
317,11
318,11
319,10
320,9
321,16
322,10
323,20
324,11
325,12
326,7
327,15
328,11
329,10
330,12
331,8
332,10
333,11
334,10
335,9
336,11
337,12
338,11
339,13
340,12
341,13
342,9
343,9
