,pmi,pcent
some,0.1208364731432737,0.064
author,0.118605742407847,0.052
least,0.0826917158451132,0.026
than,0.06309314935976315,0.069
can,0.05715841383994862,0.062
made,0.056716229441852645,0.033
someone,0.05173567439918889,0.019
at,0.05095596937170219,0.108
something,0.05085841723349116,0.021
there,0.04932506656250149,0.087
if,0.04231400469141601,0.077
different,0.04070329311350419,0.017
by,0.03945883674054771,0.124
may,0.035571465784867584,0.024
more,0.03483395267563249,0.085
certain,0.03269236168554231,0.014
think,0.03156646596783451,0.018
might,0.03129700672191478,0.019
over,0.030536723860081487,0.033
used,0.02977215833367005,0.025
