,0
0,6
1,8
2,7
3,8
4,5
5,6
6,5
7,3
8,11
9,9
10,14
11,9
12,15
13,9
14,14
15,6
16,10
17,15
18,5
19,5
20,3
21,12
22,18
23,8
24,11
25,7
26,4
27,7
28,6
29,7
30,5
31,8
32,5
33,21
34,8
35,6
36,9
37,9
38,3
39,5
40,4
41,9
42,9
43,8
44,9
45,12
46,8
47,8
48,9
49,11
50,6
51,12
52,4
53,11
54,4
55,12
56,5
57,10
58,9
59,9
60,9
61,6
62,7
63,5
64,7
65,7
66,5
67,9
68,9
69,5
70,8
71,7
72,8
73,8
74,7
75,7
76,6
77,11
78,4
79,8
80,6
81,9
82,6
83,11
84,5
85,7
86,8
87,5
88,3
89,11
90,6
91,4
92,8
93,10
94,12
95,17
96,6
97,5
98,3
99,4
100,5
101,7
102,8
103,17
104,6
105,18
106,5
107,5
108,8
109,5
110,21
111,7
112,7
113,14
114,9
115,9
116,4
117,11
118,13
119,5
120,6
121,5
122,7
123,6
124,9
125,3
126,4
127,6
128,13
129,7
130,5
131,7
132,9
133,6
134,6
135,10
136,9
137,6
138,5
139,6
140,6
141,4
142,6
143,13
144,6
145,10
146,16
147,5
148,13
149,4
150,5
151,10
152,7
153,3
154,6
155,6
156,9
157,6
158,7
159,6
160,4
161,5
162,5
163,16
164,9
165,8
166,10
167,9
168,9
169,15
170,7
171,5
172,10
173,10
174,6
175,4
176,8
177,13
178,8
179,4
180,10
181,4
182,6
183,12
184,8
185,9
186,7
187,8
188,5
189,6
190,6
191,9
192,20
193,13
194,12
195,5
196,7
197,9
198,6
199,4
200,6
201,12
202,5
203,4
204,11
205,7
206,7
207,5
208,11
209,9
210,9
211,7
212,6
213,12
214,4
215,15
216,20
217,7
218,9
219,13
220,10
221,5
222,10
223,12
224,9
225,9
226,5
227,3
228,8
229,7
230,10
231,8
232,15
233,6
234,12
235,4
236,12
237,5
238,13
239,3
240,8
241,11
242,5
243,7
244,8
245,11
246,15
247,7
248,3
249,23
250,9
251,9
252,8
253,13
254,6
255,5
256,6
257,5
258,10
259,15
260,4
261,6
262,4
263,10
264,9
265,8
266,8
267,6
268,8
269,14
270,9
271,8
272,11
273,10
274,7
275,24
276,7
277,25
278,8
279,5
280,21
281,7
282,17
283,6
284,9
285,6
286,6
287,5
288,11
289,11
290,5
291,8
292,13
293,4
294,19
295,8
296,11
297,9
298,9
299,9
300,10
301,10
302,10
303,10
304,5
305,8
306,13
307,12
308,12
309,5
310,3
311,6
312,11
313,4
314,8
315,10
316,3
317,3
318,7
319,7
320,6
321,11
322,5
323,8
324,8
325,4
326,5
327,5
328,10
329,9
330,9
331,14
332,5
333,5
334,7
335,7
336,8
337,10
338,7
339,7
340,9
341,5
342,15
343,9
344,9
345,16
346,6
347,5
348,7
349,4
350,8
351,5
352,16
353,4
354,3
355,9
356,6
357,10
358,8
359,10
360,7
361,9
362,10
363,6
364,6
365,9
366,9
367,7
368,17
369,8
370,13
371,4
372,5
373,4
374,7
375,8
376,10
377,9
378,11
379,15
380,7
381,8
382,4
383,8
384,8
385,10
386,16
387,3
388,8
389,11
390,10
391,4
392,14
393,9
394,7
395,9
396,5
397,9
398,5
399,8
400,8
401,14
402,9
403,7
404,21
405,6
406,7
407,13
408,16
409,3
410,9
411,5
412,14
413,9
414,4
415,17
416,15
417,23
418,9
419,9
420,10
421,5
422,13
423,5
424,8
425,5
426,5
427,5
428,7
429,7
430,6
431,6
432,9
433,12
434,11
435,6
436,35
437,6
438,5
439,8
440,8
441,12
442,3
443,15
444,5
445,9
446,15
447,7
448,17
449,6
450,4
451,7
452,7
453,10
454,3
455,10
456,5
457,14
458,5
459,6
460,4
461,18
462,5
463,7
464,11
465,13
466,9
467,6
468,5
469,25
470,7
471,6
472,7
473,8
474,9
475,6
476,8
477,9
478,7
479,7
480,6
481,22
482,6
483,5
484,6
485,14
486,5
487,20
488,7
489,14
490,12
491,7
492,16
493,8
494,10
495,11
496,4
497,7
498,15
499,8
500,11
501,3
502,15
503,13
504,5
505,5
506,5
507,5
508,10
509,11
510,9
511,8
512,14
513,9
514,5
515,10
516,7
517,5
518,7
519,12
520,12
521,12
522,13
523,9
524,7
525,5
526,11
527,5
528,7
529,4
530,4
531,8
532,8
533,8
534,7
535,6
536,4
537,7
538,7
539,7
540,4
541,3
542,6
543,15
544,8
