,pmi,pcent
everyone,0.08841179213897317,0.03003003003003003
everything,0.07796237626463202,0.02002002002002002
little,0.061694403800260006,0.01701701701701702
nothing,0.06026002631311697,0.014014014014014014
and,0.053303981426557324,0.43343343343343343
easy,0.046520850429813076,0.01001001001001001
fully,0.04335127566853384,0.01001001001001001
most,0.043209589126156946,0.03403403403403404
only,0.04199595583152331,0.05405405405405406
every,0.041847944730420666,0.022022022022022022
free,0.04070412790842434,0.01701701701701702
clear,0.03982232898159171,0.011011011011011011
she,0.03559177989762271,0.043043043043043044
should,0.03518034191609341,0.035035035035035036
with,0.03362875122467455,0.15215215215215216
went,0.03269319648046239,0.014014014014014014
love,0.03240425884957956,0.015015015015015015
found,0.03240425884957956,0.015015015015015015
impossible,0.032261697013141494,0.005005005005005005
from,0.03153871830952062,0.1041041041041041
