,pmi,pcent
never,0.2558243965234645,0.03851925962981491
any,0.17807564364908715,0.04552276138069034
little,0.16371165467387028,0.020260130065032515
always,0.15104063514944935,0.028514257128564282
no,0.14628657147253957,0.07178589294647324
completely,0.13566624288973872,0.008504252126063032
anything,0.13268681889554196,0.01725862931465733
ever,0.13217215084506662,0.018759379689844924
unable,0.11975385738026575,0.006753376688344172
every,0.11647536873295165,0.02276138069034517
everyone,0.1163139054136071,0.017508754377188594
nothing,0.10676835316228951,0.014507253626813406
stay,0.1033531485639381,0.007253626813406703
all,0.10199954569170497,0.08504252126063032
only,0.10143862058207191,0.05277638819409705
refused,0.1013896036172906,0.005252626313156579
very,0.10028474036254909,0.04052026013006503
happy,0.09531055754090849,0.0080040020010005
ignored,0.08701175472621327,0.006003001500750375
without,0.08494777050536181,0.01900950475237619
