,0
0,15
1,12
2,11
3,14
4,12
5,14
6,6
7,6
8,7
9,6
10,5
11,8
12,4
13,9
14,5
15,7
16,5
17,8
18,8
19,7
20,6
21,5
22,8
23,6
24,6
25,5
26,6
27,9
28,7
29,6
30,4
31,8
32,5
33,7
34,6
35,4
36,5
37,9
38,4
39,5
40,5
41,8
42,5
43,5
44,6
45,11
46,6
47,4
48,5
49,5
50,4
51,4
52,7
53,4
54,6
55,5
56,4
57,5
58,8
59,6
60,6
61,7
62,11
63,5
64,3
65,8
66,5
67,4
68,4
69,6
70,5
71,5
72,12
73,6
74,6
75,4
76,4
77,7
78,4
79,6
80,5
81,3
82,9
83,4
84,5
85,8
86,8
87,5
88,6
89,6
90,5
91,8
92,3
93,7
94,10
95,7
96,11
97,14
98,3
99,12
100,5
101,11
102,10
103,9
104,4
105,9
106,5
107,9
108,6
109,6
110,8
111,9
112,11
113,9
114,10
115,7
116,6
117,9
118,6
119,11
120,8
121,7
122,7
123,7
124,8
125,8
126,11
127,7
128,13
129,7
130,6
131,8
132,7
133,5
134,10
135,4
136,7
137,7
138,10
139,13
140,8
141,10
142,10
143,8
144,6
145,15
146,9
147,6
148,11
149,9
150,10
151,5
152,16
153,7
154,10
155,5
156,5
157,8
158,6
159,5
160,8
161,5
162,7
163,8
164,6
165,7
166,8
167,7
168,8
169,6
170,9
171,6
172,4
173,5
174,9
175,6
176,7
177,7
178,7
179,12
180,6
181,6
182,10
183,6
184,8
185,7
186,4
187,10
188,8
189,11
190,5
191,8
192,10
193,8
194,10
195,5
196,12
197,7
198,5
199,9
200,8
201,10
202,9
203,9
204,6
205,8
206,9
207,12
208,10
209,3
210,12
211,6
212,5
213,7
214,12
215,8
216,10
217,11
218,6
219,6
220,7
221,10
222,9
223,7
224,9
225,12
226,10
227,8
228,8
229,7
230,7
231,6
232,9
233,10
234,5
235,6
236,14
237,10
238,4
239,8
240,5
241,4
242,5
243,5
244,5
245,6
246,3
247,6
248,8
249,8
250,6
251,5
252,6
253,7
254,7
255,6
256,13
257,15
258,13
259,4
260,9
261,11
262,4
263,5
264,6
265,9
266,8
267,7
268,12
269,11
270,10
271,11
272,11
273,14
274,8
275,11
276,16
277,10
278,6
279,15
280,9
281,5
282,11
283,14
284,8
285,9
286,7
287,14
288,5
289,12
290,7
291,5
292,8
293,8
294,8
295,7
296,10
297,9
298,11
299,4
300,6
301,7
302,8
303,9
304,18
305,15
306,8
307,4
308,4
309,16
310,7
311,9
312,14
313,16
314,9
315,8
316,15
317,9
318,12
319,6
320,10
321,13
322,11
323,9
324,13
325,8
326,16
327,7
328,9
329,8
330,11
331,7
332,11
333,4
334,7
335,8
336,7
337,6
338,11
339,3
340,11
341,15
342,10
343,15
344,6
345,9
346,13
347,10
348,4
349,6
350,7
351,6
352,5
353,11
354,11
355,12
356,10
357,8
358,6
359,6
360,9
361,6
362,10
363,5
364,13
365,14
366,8
367,4
368,4
369,13
370,10
371,12
372,10
373,6
374,9
375,11
376,17
377,9
378,6
379,13
380,10
381,12
382,9
383,15
384,12
385,9
386,8
387,20
388,15
389,7
390,5
391,7
392,9
393,6
394,5
395,8
396,17
397,6
398,6
399,14
400,8
401,10
402,10
403,9
404,8
405,17
406,13
407,9
408,16
409,9
410,10
411,5
412,8
413,13
414,16
415,9
416,12
417,14
418,8
419,11
420,9
421,8
422,11
423,8
424,9
425,13
426,6
427,9
428,14
429,7
430,5
431,9
432,6
433,5
434,10
435,10
436,17
437,14
438,10
439,6
440,11
441,8
442,10
443,6
444,8
445,15
446,13
447,6
448,8
449,14
450,13
451,6
452,10
453,7
454,15
455,13
456,11
457,11
458,10
459,19
460,13
461,8
462,13
463,9
464,8
465,8
466,12
467,12
468,5
469,5
470,6
471,5
472,6
473,12
474,7
475,5
476,8
477,5
478,11
479,8
480,7
481,10
482,8
483,6
484,8
485,4
486,6
487,6
488,6
489,5
490,6
491,3
492,4
493,9
494,8
495,3
496,9
497,11
498,6
499,4
500,7
501,6
502,4
503,7
504,11
505,10
506,6
507,8
508,5
509,13
510,4
511,6
512,9
513,7
514,6
515,8
516,9
517,10
518,7
519,10
520,5
521,9
522,5
523,12
524,6
525,14
526,3
527,5
528,6
529,8
530,6
531,7
532,8
533,8
534,10
535,6
536,6
537,6
538,4
539,9
540,9
541,4
542,5
543,9
544,7
545,14
546,6
547,10
548,5
549,3
550,6
551,3
552,5
553,7
554,8
555,5
556,8
557,6
558,5
559,5
560,6
561,5
562,3
563,8
564,6
565,5
566,5
567,8
568,11
569,7
570,6
571,3
572,8
573,6
574,5
575,9
576,4
577,6
578,8
579,5
580,10
581,9
582,3
583,4
584,4
585,4
586,6
587,7
588,7
589,7
590,9
591,7
592,9
593,7
594,3
595,5
596,4
597,10
598,7
599,5
600,7
601,9
602,10
603,10
604,9
605,7
606,4
607,3
608,12
609,11
610,9
611,6
612,6
613,9
614,17
615,7
616,13
617,6
618,8
619,9
620,12
621,7
622,9
623,7
624,10
625,5
626,9
627,16
628,9
629,6
630,4
631,9
632,9
633,8
634,8
635,7
636,10
637,12
638,5
639,13
640,5
641,8
642,10
643,9
644,10
645,9
646,8
647,8
648,10
649,8
650,9
651,10
652,7
653,5
654,10
655,8
656,10
657,11
658,7
659,6
660,8
661,10
662,9
663,8
664,5
665,9
666,7
667,10
668,10
669,5
670,6
671,5
672,9
673,13
674,14
675,13
676,15
677,15
678,9
679,17
680,9
681,18
682,8
683,16
684,17
685,10
686,13
687,6
688,8
689,12
690,16
691,20
692,16
693,15
694,11
695,11
696,8
697,14
698,10
699,16
700,12
701,16
702,8
703,14
704,10
705,9
706,16
707,14
708,11
709,14
710,11
711,6
712,10
713,7
714,4
715,7
716,12
717,7
718,10
719,9
720,10
721,11
722,10
723,6
724,9
725,10
726,5
727,14
728,10
729,10
730,8
731,7
732,7
733,6
734,10
735,8
736,11
737,7
738,10
739,8
740,5
741,8
742,12
743,6
744,9
745,9
746,10
747,8
748,6
749,8
750,5
751,10
752,6
753,13
754,7
755,6
756,8
757,4
758,11
759,8
760,9
761,7
762,7
763,8
764,6
765,9
766,6
767,14
768,6
769,6
770,16
771,11
772,11
773,12
774,10
775,7
776,7
777,8
778,4
779,8
780,6
781,7
782,7
783,10
784,9
785,8
786,6
787,14
788,12
789,9
790,11
791,9
792,8
793,5
794,6
795,10
796,9
797,9
798,5
799,11
800,9
801,6
802,11
803,5
804,8
805,5
806,11
807,12
808,6
809,5
810,7
811,5
812,6
813,10
814,6
815,10
816,6
817,7
818,10
819,8
820,9
821,7
822,10
823,8
824,7
825,9
826,4
827,6
828,6
829,9
830,7
831,12
832,9
833,10
834,3
835,7
836,9
837,6
838,7
839,10
840,11
841,5
842,8
843,6
844,9
845,11
846,6
847,4
848,10
849,12
850,9
851,11
852,7
853,8
854,5
855,10
856,7
857,7
858,9
859,7
860,10
861,8
862,6
863,12
864,6
865,5
866,10
867,8
868,6
869,11
870,8
871,3
872,11
873,7
874,9
875,9
876,10
877,6
878,8
879,7
880,10
881,5
882,11
883,7
884,8
885,15
886,14
887,14
888,11
889,6
890,5
891,9
892,10
893,11
894,7
895,8
896,13
897,12
898,4
899,12
900,12
901,9
902,8
903,6
904,3
905,10
906,5
907,8
908,9
909,13
910,10
911,6
912,5
913,11
914,7
915,7
916,9
917,11
918,12
919,8
920,8
921,15
922,11
923,7
924,7
925,11
926,17
927,6
928,14
929,7
930,12
931,9
932,13
933,8
934,3
935,10
936,6
937,12
938,6
939,7
940,8
941,4
942,9
943,14
944,10
945,19
946,5
947,11
948,12
949,15
950,8
951,5
952,6
953,11
954,6
955,11
956,12
957,11
958,15
959,6
960,7
961,5
962,15
963,10
964,6
965,7
966,10
967,8
968,6
969,9
970,7
971,16
972,7
973,8
974,8
975,4
976,9
977,17
978,10
979,15
980,12
981,8
982,12
983,7
984,10
985,13
986,5
987,12
988,10
989,10
990,6
991,12
992,5
993,5
994,8
995,11
996,14
997,8
998,10
999,7
