,pmi,pcent
no,0.32796154695330426,0.173
never,0.309698203016156,0.099
any,0.18966553104971312,0.064
not,0.17979311044059598,0.216
nothing,0.12169693497751977,0.028
anything,0.11876007530421016,0.028
all,0.11586180547848965,0.095
always,0.11136982082167006,0.036
nobody,0.07906852347569303,0.014
does,0.07752063824082664,0.043
did,0.0769610411361284,0.044
only,0.0751341395090339,0.075
ever,0.0627764061441718,0.026
one,0.06173770060577957,0.106
there,0.059638266319731244,0.09
has,0.05275056538552896,0.153
everyone,0.04791335569589745,0.014
every,0.0467760647977307,0.024
need,0.04546237407675741,0.02
completely,0.04295138719559926,0.011
