,0
0,6
1,11
2,15
3,6
4,7
5,5
6,5
7,13
8,17
9,10
10,7
11,7
12,4
13,6
14,9
15,9
16,9
17,4
18,10
19,4
20,5
21,14
22,8
23,10
24,5
25,15
26,5
27,11
28,11
29,8
30,4
31,10
32,9
33,8
34,9
35,6
36,9
37,3
38,12
39,7
40,8
41,4
42,10
43,8
44,12
45,6
46,9
47,7
48,7
49,13
50,7
51,7
52,8
53,12
54,12
55,7
56,6
57,4
58,8
59,11
60,8
61,5
62,23
63,7
64,9
65,4
66,9
67,7
68,5
69,7
70,16
71,6
72,6
73,8
74,6
75,8
76,9
77,4
78,8
79,6
80,13
81,9
82,6
83,5
84,6
85,8
86,5
87,11
88,9
89,9
90,13
91,22
92,15
93,4
94,27
95,10
96,10
97,11
98,9
99,17
100,7
101,9
102,4
103,6
104,5
105,7
106,8
107,10
108,10
109,7
110,9
111,7
112,12
113,6
114,10
115,10
116,6
117,11
118,6
119,5
120,7
121,9
122,5
123,9
124,12
125,6
126,7
127,5
128,5
129,4
130,4
131,5
132,6
133,4
134,13
135,4
136,8
137,6
138,10
139,5
140,4
141,8
142,12
143,4
144,9
145,14
146,3
147,7
148,4
149,3
150,4
151,12
152,11
153,8
154,7
155,7
156,9
157,5
158,5
159,16
160,12
161,10
162,10
163,10
164,12
165,10
166,7
167,12
168,5
169,4
170,7
171,9
172,5
173,12
174,7
175,6
176,8
177,4
178,7
179,7
180,6
181,4
182,9
183,28
184,12
185,10
186,4
187,8
188,14
189,6
190,9
191,9
192,14
193,8
194,8
195,5
196,10
197,18
198,5
199,5
200,16
201,6
202,14
203,8
204,7
205,10
206,11
207,5
208,4
209,7
210,10
211,5
212,12
213,9
214,13
215,9
216,5
217,8
218,4
219,7
220,9
221,5
222,4
223,5
224,5
225,8
226,8
227,9
228,9
229,10
230,6
231,3
232,15
233,7
234,8
235,5
236,9
237,3
238,4
239,14
240,6
241,4
242,11
243,7
244,13
245,6
246,10
247,23
248,10
249,7
250,6
251,9
252,6
253,5
254,5
255,19
256,7
257,7
258,7
259,7
260,6
261,4
262,6
263,6
264,5
265,17
266,11
267,16
268,7
269,18
270,6
271,9
272,11
273,6
274,7
275,5
276,10
277,12
278,12
279,9
280,7
281,7
282,19
283,10
284,10
285,3
286,7
287,4
288,9
289,12
290,13
291,9
292,6
293,6
294,7
295,5
296,8
297,5
298,16
299,7
300,5
301,14
302,12
303,5
304,9
305,7
306,11
307,3
308,4
309,5
310,8
311,5
312,14
313,4
314,16
315,8
316,19
317,4
318,11
319,7
320,21
321,7
322,8
323,5
324,6
325,5
326,22
327,14
328,13
329,4
330,4
331,7
332,8
333,15
334,9
335,13
336,5
337,9
338,16
339,9
340,8
341,13
342,8
343,6
344,6
345,13
346,14
347,8
348,9
349,6
350,18
351,6
352,10
353,6
354,5
355,9
356,12
357,5
358,9
359,8
360,17
361,12
362,8
363,15
364,8
365,6
366,5
367,8
368,11
369,6
370,5
371,12
372,11
373,5
374,12
375,9
376,5
377,9
378,3
379,3
380,8
381,7
382,8
383,8
384,3
385,10
386,8
387,5
388,11
389,5
390,7
391,9
392,5
393,5
394,14
395,7
396,12
397,6
398,4
399,4
400,11
401,11
402,9
403,8
404,9
405,9
406,9
407,4
408,11
409,12
410,9
411,9
412,9
413,4
414,11
415,15
416,4
417,4
418,7
419,4
420,13
421,7
422,10
423,4
424,16
425,13
426,13
427,8
428,7
429,9
430,11
431,6
432,11
433,7
434,18
435,4
436,9
437,2
438,9
439,13
440,6
441,11
442,3
443,4
444,3
445,4
446,13
447,3
448,3
449,4
450,5
451,4
452,3
453,5
454,8
455,8
456,7
457,6
458,5
459,3
460,9
461,6
462,3
463,7
464,14
465,11
466,5
467,6
468,21
469,5
470,12
471,12
472,6
473,4
474,10
475,20
476,6
477,5
478,10
479,7
480,10
481,3
482,5
483,12
484,19
485,16
486,9
487,10
488,12
489,6
490,20
491,8
492,18
493,15
494,13
495,8
496,13
497,3
498,13
499,7
500,6
501,10
502,7
503,9
504,7
505,7
506,6
507,6
508,4
509,10
510,6
511,14
512,15
513,9
514,9
515,5
516,6
517,6
518,12
519,10
520,8
521,7
522,9
523,10
524,6
525,5
526,9
527,13
528,8
529,7
530,4
531,11
532,4
533,3
534,10
535,12
536,13
537,15
538,14
539,10
540,8
541,9
542,12
543,10
544,11
545,11
546,13
547,9
548,8
549,8
550,8
551,7
552,9
553,9
554,13
555,6
556,4
557,8
558,13
559,5
560,12
561,6
562,10
563,4
564,10
565,7
566,8
567,7
568,11
569,7
570,7
571,11
572,8
573,6
574,7
575,5
576,18
577,6
578,8
579,13
580,8
581,6
582,9
583,9
584,5
585,9
586,6
587,11
588,5
589,6
590,10
591,7
592,9
593,6
594,9
595,6
596,8
597,3
598,8
599,8
600,5
601,6
602,10
603,5
604,4
605,8
606,11
607,3
608,4
609,10
610,11
611,11
612,4
613,15
614,17
615,14
616,5
617,6
618,5
619,4
620,9
621,10
622,6
623,6
624,4
625,8
626,8
627,9
628,11
629,4
630,11
631,8
632,8
633,8
634,7
635,5
636,7
637,7
638,5
639,12
640,8
641,10
642,7
643,7
644,6
645,12
646,9
647,7
648,9
649,7
650,8
651,4
652,8
653,6
654,4
655,9
656,16
657,8
658,5
659,18
660,7
661,7
662,5
663,5
664,6
665,10
666,9
667,11
668,7
669,6
670,5
671,8
672,7
673,9
674,10
675,6
676,6
677,8
678,12
679,7
680,12
681,6
682,6
683,7
684,11
685,9
686,15
687,10
688,6
689,7
690,10
691,9
692,5
693,12
694,11
695,6
696,9
697,7
698,20
699,6
700,3
701,8
702,9
703,8
704,7
705,11
706,12
707,10
708,7
709,9
710,10
711,6
712,8
713,9
714,8
715,10
716,8
717,9
718,4
719,6
720,8
721,12
722,6
723,13
724,3
725,5
726,5
727,5
728,8
729,6
730,7
731,8
732,6
733,9
734,10
735,9
736,8
737,4
738,6
739,6
740,11
741,8
742,6
743,8
744,8
745,8
746,4
747,11
748,4
749,7
750,18
751,7
752,5
753,7
754,4
755,8
756,7
757,7
758,8
759,5
760,7
761,7
762,6
763,5
764,12
765,11
766,13
767,6
768,6
769,5
770,15
771,8
772,4
773,7
774,7
775,7
776,10
777,7
778,7
779,6
780,15
781,17
782,5
783,6
784,8
785,5
786,3
787,4
788,13
789,4
790,9
791,19
792,7
793,8
794,3
795,5
796,3
797,5
798,5
799,8
800,8
801,3
802,8
803,4
804,9
805,6
806,16
807,19
808,6
809,8
810,4
811,16
812,9
813,3
814,12
815,8
816,17
817,5
818,7
819,6
820,6
821,15
822,10
823,7
824,10
825,10
826,4
827,5
828,7
829,9
830,4
831,5
832,7
833,5
834,7
835,5
836,12
837,6
838,10
839,5
840,11
841,15
842,14
843,5
844,13
845,5
846,11
847,7
848,8
849,9
850,12
851,8
852,7
853,19
854,5
855,5
856,4
857,16
858,6
859,14
860,5
861,8
862,5
863,5
864,8
865,7
866,9
867,4
868,8
869,12
870,13
871,4
872,7
873,20
874,21
875,7
876,6
877,12
878,23
879,8
880,4
881,5
882,13
883,8
884,7
