,pmi,pcent
seems,0.0496452304891653,0.017
do,0.045299759229663526,0.043
like,0.03548044001540964,0.053
wrote,0.03298649899630645,0.013
questions,0.03049016675778742,0.011
author,0.029532347565017523,0.026
good,0.029296369488430757,0.027
when,0.02911739857072717,0.051
it,0.028573372444055948,0.184
need,0.02597548640326052,0.017
exist,0.025479085300984968,0.006
2,0.025237932589862754,0.007
played,0.025001302205417186,0.008
talk,0.02454110891611766,0.01
different,0.024317307650706214,0.011
said,0.023347363996991107,0.03
doesnt,0.02266385957721187,0.019
things,0.022472855852058576,0.02
finds,0.022472855852058576,0.005
amount,0.022258470600942697,0.006
