,0
0,8
1,8
2,6
3,7
4,14
5,5
6,10
7,6
8,17
9,6
10,11
11,9
12,8
13,8
14,12
15,11
16,9
17,13
18,10
19,11
20,10
21,23
22,12
23,4
24,6
25,13
26,4
27,11
28,11
29,12
30,6
31,8
32,7
33,9
34,6
35,5
36,11
37,9
38,28
39,35
40,16
41,12
42,19
43,12
44,11
45,29
46,38
47,12
48,8
49,8
50,6
51,11
52,10
53,6
54,8
55,7
56,21
57,7
58,8
59,10
60,11
61,10
62,8
63,9
64,7
65,7
66,20
67,8
68,9
69,6
70,11
71,15
72,10
73,17
74,9
75,6
76,10
77,9
78,3
79,6
80,6
81,9
82,5
83,6
84,10
85,13
86,8
87,20
88,4
89,11
90,6
91,8
92,11
93,8
94,7
95,7
96,14
97,14
98,9
99,14
100,14
101,12
102,16
103,6
104,7
105,3
106,5
107,7
108,13
109,11
110,10
111,16
112,6
113,7
114,3
115,7
116,9
117,9
118,14
119,9
120,8
121,9
122,11
123,12
124,10
125,9
126,5
127,3
128,9
129,7
130,5
131,15
132,5
133,9
134,15
135,7
136,9
137,9
138,7
139,11
140,17
141,16
142,19
143,10
144,7
145,4
146,8
147,8
148,5
149,10
150,6
151,12
152,4
153,7
154,6
155,13
156,13
157,7
158,5
159,11
160,9
161,6
162,12
163,6
164,11
165,8
166,8
167,8
168,16
169,11
170,6
171,18
172,5
173,4
174,8
175,4
176,3
177,9
178,7
179,7
180,7
181,10
182,7
183,10
184,7
185,5
186,6
187,5
188,7
189,9
190,10
191,8
192,7
193,9
194,10
195,13
196,8
197,7
198,8
199,7
200,4
201,4
202,11
203,8
204,12
205,14
206,7
207,4
208,12
209,14
210,5
211,18
212,8
213,9
214,7
215,8
216,9
217,5
218,6
219,13
220,15
221,4
222,15
223,6
224,6
225,11
226,14
227,7
228,7
229,16
230,7
231,6
232,12
233,10
234,17
235,9
236,10
237,8
238,11
239,6
240,12
241,13
242,14
243,6
244,17
245,5
246,7
247,11
248,7
249,12
250,8
251,14
252,14
253,14
254,12
255,5
256,15
257,9
258,8
259,14
260,8
261,14
262,4
263,8
264,12
265,15
266,10
267,6
268,11
269,9
270,6
271,4
272,6
273,10
274,9
275,15
276,9
277,11
278,8
279,13
280,10
281,13
282,15
283,13
284,12
285,9
286,11
287,14
288,9
289,7
290,5
291,9
292,12
293,8
294,6
295,9
296,6
297,12
298,6
299,13
300,17
301,8
302,9
303,4
304,14
305,5
306,12
307,12
308,6
309,12
310,13
311,18
312,19
313,18
314,8
315,14
316,9
317,13
318,15
319,7
320,18
321,13
322,8
323,7
324,9
325,7
326,7
327,7
328,8
329,5
330,8
331,12
332,10
333,11
334,10
335,13
336,9
337,9
338,9
339,6
340,5
341,10
