,0
0,11
1,9
2,8
3,4
4,9
5,14
6,9
7,8
8,6
9,6
10,7
11,13
12,5
13,6
14,9
15,5
16,10
17,12
18,7
19,14
20,9
21,9
22,4
23,9
24,6
25,11
26,5
27,12
28,7
29,7
30,11
31,4
32,6
33,8
34,9
35,5
36,6
37,8
38,9
39,4
40,7
41,5
42,10
43,9
44,5
45,4
46,5
47,7
48,8
49,10
50,7
51,15
52,9
53,8
54,5
55,6
56,6
57,10
58,6
59,7
60,5
61,9
62,6
63,8
64,9
65,9
66,7
67,8
68,4
69,7
70,12
71,11
72,8
73,8
74,6
75,8
76,10
77,5
78,12
79,7
80,7
81,9
82,8
83,8
84,19
85,18
86,13
87,5
88,12
89,22
90,9
91,8
92,16
93,5
94,8
95,7
96,16
97,8
98,8
99,9
100,29
101,8
102,10
103,10
104,5
105,10
106,7
107,15
108,6
109,11
110,15
111,7
112,4
113,8
114,7
115,11
116,5
117,10
118,4
119,10
120,11
121,9
122,9
123,7
124,11
125,6
126,10
127,19
128,8
129,10
130,7
131,8
132,4
133,6
134,6
135,10
136,22
137,8
138,5
139,13
140,11
141,10
142,12
143,6
144,7
145,8
146,6
147,10
148,7
149,9
150,5
151,7
152,6
153,9
154,10
155,8
156,5
157,5
158,8
159,12
160,6
161,4
162,5
163,7
164,14
165,4
166,8
167,11
168,11
169,20
170,6
171,14
172,20
173,7
174,4
175,11
176,4
177,9
178,12
179,6
180,7
181,11
182,6
183,7
184,12
185,11
186,5
187,12
188,9
189,7
190,21
191,6
192,8
193,8
194,8
195,9
196,13
197,11
198,7
199,11
200,10
201,9
202,9
203,6
204,4
205,9
206,5
207,6
208,5
209,16
210,10
211,10
212,7
213,8
214,18
215,11
216,7
217,6
218,7
219,4
220,4
221,11
222,8
223,8
224,9
225,8
226,9
227,10
228,8
229,8
230,8
231,10
232,7
233,5
234,6
235,8
236,8
237,10
238,11
239,8
240,9
241,5
242,10
243,17
244,14
245,5
246,8
247,11
248,3
249,10
250,7
251,4
252,4
253,7
254,14
255,20
256,9
257,11
258,11
259,16
260,7
261,6
262,9
263,9
264,9
265,8
266,9
267,10
268,7
269,9
270,7
271,9
272,8
273,11
274,14
275,7
276,6
277,7
278,13
279,7
280,11
281,8
282,13
283,8
284,9
285,8
286,9
287,10
288,11
289,8
290,8
291,8
292,11
293,12
294,15
295,6
296,12
297,12
298,8
299,8
300,7
301,13
302,9
303,7
304,8
305,9
306,13
307,17
308,9
309,6
310,14
311,18
312,11
313,19
314,6
315,7
316,4
317,7
318,3
319,9
320,11
321,12
322,7
323,10
324,6
325,10
326,17
327,9
328,10
329,8
330,9
331,9
332,10
333,4
334,10
335,8
336,7
337,10
338,7
339,16
340,5
341,8
342,6
343,7
344,15
345,7
346,9
347,11
348,12
349,6
350,9
351,5
352,3
353,11
354,11
355,11
356,13
357,7
358,16
359,8
360,8
361,7
362,13
363,8
364,7
365,13
366,5
367,7
368,7
369,7
370,8
371,11
372,4
373,10
374,8
375,10
376,7
377,18
378,15
379,9
380,9
381,6
382,8
383,8
384,7
385,3
386,8
387,6
388,8
389,9
390,8
391,8
392,6
393,24
394,10
395,12
396,6
397,20
398,8
399,11
400,11
401,5
402,10
403,7
404,6
405,7
406,7
407,10
408,6
409,9
410,10
411,8
412,8
413,8
414,6
415,6
416,3
417,6
418,9
419,5
420,9
421,13
422,13
423,5
424,10
425,10
426,10
427,15
428,9
429,17
430,6
431,8
432,7
433,10
434,8
435,6
436,5
437,10
438,5
439,7
440,5
441,12
442,13
443,17
444,6
445,7
446,11
447,5
448,10
449,15
450,6
451,14
452,14
453,12
454,3
455,11
456,10
457,9
458,10
459,8
460,13
461,11
462,7
463,12
464,7
465,6
466,12
467,5
468,8
469,13
470,8
471,16
472,18
473,4
474,6
475,9
476,7
477,6
478,12
479,7
480,6
481,10
482,4
483,11
484,10
485,8
486,12
487,10
488,7
489,6
490,20
491,8
492,11
493,7
494,6
495,8
496,7
497,8
498,6
499,10
500,10
501,12
502,5
503,7
504,8
505,7
506,5
507,11
508,11
509,6
510,7
511,6
512,6
513,7
514,5
515,7
516,8
517,13
518,9
519,5
520,7
521,10
522,6
523,9
524,9
525,6
526,5
527,11
528,8
529,11
530,6
531,4
532,4
533,5
534,14
535,8
536,13
537,8
538,5
539,7
540,5
541,4
542,11
543,8
544,4
545,10
546,7
547,12
548,13
549,9
550,15
551,11
552,17
553,15
554,7
555,9
556,9
557,11
558,7
559,9
560,7
561,7
562,7
563,9
564,3
565,8
566,10
567,7
568,14
569,10
570,13
571,9
572,8
573,7
574,9
575,15
576,7
577,4
578,8
579,9
580,10
581,11
582,6
583,7
584,14
585,7
586,9
587,13
588,11
589,9
590,7
591,9
592,5
593,7
594,10
595,4
596,12
597,12
598,9
599,13
600,8
601,9
602,8
603,7
604,12
605,12
606,8
607,10
608,9
609,12
610,7
611,9
612,4
613,8
