,pmi,pcent
completely,0.07835412994113214,0.015015015015015015
everyone,0.07197431531970622,0.02002002002002002
decided,0.05767992728129508,0.013013013013013013
little,0.055350910777781856,0.03003003003003003
failed,0.04459419123743562,0.007007007007007007
perfectly,0.04095141930771229,0.008008008008008008
same,0.03867967025972833,0.023023023023023025
happy,0.03704208737496606,0.01001001001001001
everything,0.033902367370298225,0.01001001001001001
love,0.0332867933280838,0.012012012012012012
and,0.03176968811170264,0.43343343343343343
unable,0.03164902664539856,0.007007007007007007
remain,0.03135134557869287,0.008008008008008008
loved,0.03135134557869287,0.008008008008008008
left,0.03135134557869287,0.008008008008008008
very,0.029632613300988073,0.037037037037037035
it,0.029523254960938636,0.17517517517517517
just,0.029199970386879243,0.03903903903903904
one,0.02893592655406938,0.08708708708708708
entirely,0.028171692661313277,0.008008008008008008
