"promptID","premise","splits"
"73942","Which has a curious--and perhaps salutary--effect.","train"
"114326","Does computerization give ETS an unfair advantage?","train"
"35255","To life in the Dust Bowl during the Great Depression?","train"
"62952","In restaurants she cleans out the bread basket and transfers everything to her purse.","train"
"17456","Some medical ethicists and constitutional scholars say that the Supreme Court was wrong to create the pre-viability/post-viability distinction in the first place.","train"
"58421",", Goodwin) argue that Roosevelt spawned the civil rights and feminist movements by putting everyone to work regardless of race or gender.","train"
"121981","I'd like to see us get on to the issues, replied Senate Democratic leader Tom Daschle, D-S.D., when asked on This Week about Broaddrick's allegation.","train"
"2678","What Debate Shows Do When There's No  On The McLaughlin Group , Pat Buchanan enjoys a furiously heated nonargument with Mort Kondracke, which reminds Pundit Central of Alfred Marshall's question about which blade of a scissors does the cutting.","train"
"100677","Upon his death, the pop artist ascends from the controversial to the canonical.","train"
"113552","And yet it ended up foundering as a result of the inherent uncertainty of the free-market system.","train"
"124550","Bill Bennett said Newt Gingrich is cozying up to the left and should change course or step down.","train"
"65054","Monday through Thursday, we go to press with the next day's edition at about 5 p.m.","train"
"79460","The Unabomber's neighbors said Kaczynski was hardly odd enough to worry  We've got other ones around here that act a lot farther out than he ever was.","dev"
"83593","If you've installed Internet Explorer 4.0, click here for more about (and a chance to download) the channel.","train"
"18258","The Bush campaign has a sweet monopoly on that.","dev"
"69094","Or, perhaps most striking of all, consider a set piece in which Reich speaks to the National Association of Manufacturers.","train"
"37146","In 1995, Willey took revenge on a lover named Shaun Docking by faking a pregnancy and miscarriage and asking Steele to lie about it.","train"
"34531","And if there was a bit of buggery and whatnot going on up in the balcony, what of it?","train"
"107828","I think Michael Jordan is beginning to get a bit frustrated with his new cohorts in the Washington Wizards front office.","train"
"145874","Newsweek 's longer piece likens this to swapping Katharine Hepburn for  Whitney was revered for her practicality, whereas Fuller exudes buzz.","train"
"100987","Since top athletes inevitably are drawn from the healthiest sector of the population, a generally superior system of health care means a bigger pool of people to draw from.","train"
"136228","Tim Hutchinson, R-Ark., calls the case symptomatic of the casual attitude with which the Clinton administration views issues of national security.","train"
"17462","In contrast to the well-oiled Gore machine, Bradley has no staff, message, money, or following.","train"
"111629","Sharp Elbows wasn't living up to his own elevated standard of positive campaigning.","train"
"136109","Lost in the managed-care rumble is this  Why do employers provide health insurance in the first place?","train"
"113544","Crucial information is delayed and denied, which brings us back to the motif of Juneteenth, the day when slaves found out they'd been free for two and a half years.","train"
"125746","Lewis advised Bond to stay at home in Atlanta, build a political machine, and run for Congress.","dev"
"21655","And to show me the famous window of the Defenestration of Prague, the glorious day in May 1618 during the Thirty Years War when two royal Catholic officers had been hurled from the window by the Protestant members of the Bohemian Diet--and being in Prague, had landed on a haystack below.","train"
"119270","Unless Wanamaker was willing to pay double for reaching the right half of the people, his total ad spending would go down and not up.","train"
"112813","Regarding Onward, Christian Clothiers: I often wonder if the peddlers of religious schlock have actually read any Scripture beyond the gory here's hell in your face passages.","train"
"79141","Isn't a woman's body her most personal property?","dev"
"131372","Our culture now interprets nearly all pleasures as addictions--or potential addictions.","train"
"98296","Falling demand for other things would necessarily result in falling prices for those things.","train"
"65542","Perversely, Weld lost the ideology/competence battle by winning the drugs/morality battle.","train"
"143796","He looks like he's still alive.","train"
"11954","Researchers in Boston are already implanting fetal pig cells in the brains of Parkinson's disease patients.","train"
"9091","It happened here about 2.1 billion years ago.","train"
"118477","When I say, I've got the sun in the morning and the moon at night, there's a big dose of Ethel Merman but also some of me.","train"
"58554","This is another way of saying that in the last 30 years, the people who owned America have lost 40 percent of their wealth held in the form of equity.","train"
"30807","In the early stages of her career, Evita was fleshier and raunchier and blended better with Madonna's present persona.","train"
"105904","Or to judge by the  Failing to nurse at night can lead to painful engorgement or even breast infection.","dev"
"33711","One reject was asked earnestly why on earth he had gone to live in Prague after graduation, surviving on odd jobs instead of starting a career back home.","train"
"24705","On Meet the Press , White House Chief of Staff John Podesta  We're not negotiating, Tim.","train"
"65930","Perhaps the uncritical reportage of Fitzsimmons' new story can be explained by pangs of guilt about the uncritical reportage of his old one.","train"
"14812","Hives feature the mathematical genius of honeycombs and precise divisions of labor.","train"
"19711","The strangest role reversal is going on right now and concerns democracy itself.","dev"
"17220","A couple of serious  Before removing any components, you must save copies onto a floppy disk.","train"
"71593","Wasn't nostalgia one of the things in Pandora's box?","dev"
"106004","Readers are of course invited to submit their candidates to the Rock Pomposity Sweepstakes at culturebox@slate.com.","train"
"62308","Makes you want to watch Sunday's game just to see how it turns out.","train"
"122744","The bones proved to be those of a male who was tall for his time (5 feet 9 inches).","train"
"114681","That ought to impress Ellen Barkin.","train"
"136116","But I agree with you that when it comes to the upshot of the whole story, those scanty last few pages on what it all means, Lemann just throws up his hands, and leaves a lot dangling.","dev"
"43306","I have certainly forgiven Bob Inglis.","train"
"40715","Eighty percent of pagers in the United States were knocked out by a satellite malfunction in space.","dev"
"3226","Now that consumers know that there is a fluid aftermarket for video games, they are more likely to go into a store and buy one of these games for full price on the day it comes out.","train"
"86473","Too bad it chose to use McIntyre instead.","dev"
"96510","Please note that, like a reheated stew, this dodge works even better after a military action has begun.","train"
"30446","Interestingly, if the page simply provides a hyperlink to the image in question, the law becomes even murkier.","train"
"31516","Mossad, which employs about 1,200 people, now has difficulty competing with private-sector recruiters . Its early agents were well-educated, European-born cosmopolitans who ran the agency like an exclusive club.","train"
"54842","Sometimes it's because there are nonmarket goods involved--the high value people place on personal safety, national security, a clean environment, or social welfare.","train"
"28077","A backdoor appropriations victory is not exactly the strong-arming triumph a chief executive is supposed to win over Congress.","train"
"121372","Congress, the United Nations, and other international forums.","train"
"31623","At least you know they're not reading a book or anything.","train"
"26709","No, as it happens, it doesn't.","train"
"25184","Last year, advertisers spent $2 billion on the Internet, compared with $35 billion spent on broadcast TV and $10 billion spent on cable.","train"
"115101","This tax-cutting initiative, which he is readying for the November 2000 election, will cap annual property-tax appraisals at 2 percent and exempt vehicles from the property tax (on the long shot that the government might start taxing cars as property).","train"
"100426","Come to think of it, Brahms isn't that close to Mozart.","train"
"48195","There followed the epoch of leg warmers and other mutations into the aerobics class look.","train"
"53631","For more than a month, Clinton's debauchery and deceit have consumed journalists' attention.","train"
"26343","Placido Domingo's appearance on the package, compellingly photographed in costume as the ancient King of Crete, (Anthony Tommasini, the New York Times ) is the main selling point for this new recording of one of Mozart's more obscure operas--a fact that does not make critics happy.","dev"
"16975","Detractors assailed Robert Kennedy for his 1964 New York Senate bid","train"
"107478","As American multinationals ship their production overseas, the likelihood of getting business to support an import tariff (which would now tax their own imports) becomes equally small.","train"
"143578","Not all the time-wasters in the Pentagon are civilians.","train"
"60632","A special place in the Liberal Humanitarian pantheon belongs to New York Times columnist Anthony Lewis.","train"
"27825","Nickles advocated a compromise, and Lott expressed interest in Yugoslavia's proposal for a lightly armed U.N. peacekeeping force in Kosovo rather than a fully equipped NATO force.","train"
"122404","I am asserting my membership in the club of Old Geezers.","dev"
"58541","Is there really a common sensibility that unites the inspirational homiletics of Nike's Just Do It and the remorseless irony of ABC's You can talk to your wife anytime campaign?","train"
