promptID,premise,splits,heuristic_value,heuristic_friendlyname,heuristic_example_text,heuristic_payment_text,heuristic_checkbox_text,entailment_payment,neutral_payment,contradiction_payment,FAQ_direct_link
33761,"They inhabit the near-boiling water of geysers in Yellowstone, and the even hotter water in volcanic vents on the ocean floor.",train,no_overlap,do not reuse any words from the text,"We ask you to come up with sentences that do not use the same noun, verb, adjective, and adverb appearing in the original text  (including proper nouns, such as the name of a person or the name of a city). This, however, does not mean that you have to change the function words. In other words -- you can reuse words such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc.","Adding this restriction to the maybe correct or definitely incorrect statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","does not reuse nouns, verbs, adjectives, or adverbs from the text",$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.udsia7gw0yt1
83457,"If this spot is any indication, so will the treaty.",dev,no_overlap,do not reuse any words from the text,"We ask you to come up with sentences that do not use the same noun, verb, adjective, and adverb appearing in the original text  (including proper nouns, such as the name of a person or the name of a city). This, however, does not mean that you have to change the function words. In other words -- you can reuse words such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc.","Adding this restriction to the maybe correct or definitely incorrect statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","does not reuse nouns, verbs, adjectives, or adverbs from the text",$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.udsia7gw0yt1
28781,The fact that voters can and do reject incumbents will strike them as an epiphany.,train,no_overlap,do not reuse any words from the text,"We ask you to come up with sentences that do not use the same noun, verb, adjective, and adverb appearing in the original text  (including proper nouns, such as the name of a person or the name of a city). This, however, does not mean that you have to change the function words. In other words -- you can reuse words such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc.","Adding this restriction to the maybe correct or definitely incorrect statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","does not reuse nouns, verbs, adjectives, or adverbs from the text",$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.udsia7gw0yt1
79022,"And you have made other people happy, as well.",train,no_overlap,do not reuse any words from the text,"We ask you to come up with sentences that do not use the same noun, verb, adjective, and adverb appearing in the original text  (including proper nouns, such as the name of a person or the name of a city). This, however, does not mean that you have to change the function words. In other words -- you can reuse words such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc.","Adding this restriction to the maybe correct or definitely incorrect statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","does not reuse nouns, verbs, adjectives, or adverbs from the text",$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.udsia7gw0yt1
137676,"But still, in one degree or another the feeling described by Auden, of not wanting to be forgotten, must be nearly universal.",train,no_overlap,do not reuse any words from the text,"We ask you to come up with sentences that do not use the same noun, verb, adjective, and adverb appearing in the original text  (including proper nouns, such as the name of a person or the name of a city). This, however, does not mean that you have to change the function words. In other words -- you can reuse words such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc.","Adding this restriction to the maybe correct or definitely incorrect statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","does not reuse nouns, verbs, adjectives, or adverbs from the text",$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.udsia7gw0yt1
99551,Then you are told to allow between three and seven days for delivery after your book leaves Amazon's warehouse.,train,no_overlap,do not reuse any words from the text,"We ask you to come up with sentences that do not use the same noun, verb, adjective, and adverb appearing in the original text  (including proper nouns, such as the name of a person or the name of a city). This, however, does not mean that you have to change the function words. In other words -- you can reuse words such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc.","Adding this restriction to the maybe correct or definitely incorrect statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","does not reuse nouns, verbs, adjectives, or adverbs from the text",$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.udsia7gw0yt1
63645,"At war's end, he arranged to contribute some of his panels as a sort of victory monument to the nation--the gift that eventually became the glorious circular water lily chapel at the Orangerie in Paris.",train,no_overlap,do not reuse any words from the text,"We ask you to come up with sentences that do not use the same noun, verb, adjective, and adverb appearing in the original text  (including proper nouns, such as the name of a person or the name of a city). This, however, does not mean that you have to change the function words. In other words -- you can reuse words such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc.","Adding this restriction to the maybe correct or definitely incorrect statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","does not reuse nouns, verbs, adjectives, or adverbs from the text",$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.udsia7gw0yt1
118635,But there is a little more noble cause in this for me.,train,no_overlap,do not reuse any words from the text,"We ask you to come up with sentences that do not use the same noun, verb, adjective, and adverb appearing in the original text  (including proper nouns, such as the name of a person or the name of a city). This, however, does not mean that you have to change the function words. In other words -- you can reuse words such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc.","Adding this restriction to the maybe correct or definitely incorrect statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","does not reuse nouns, verbs, adjectives, or adverbs from the text",$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.udsia7gw0yt1
27153,"A charmless, surprisingly chintzy affair (Greg Evans, Variety ), the play features a script eviscerated of interesting characters.",train,no_overlap,do not reuse any words from the text,"We ask you to come up with sentences that do not use the same noun, verb, adjective, and adverb appearing in the original text  (including proper nouns, such as the name of a person or the name of a city). This, however, does not mean that you have to change the function words. In other words -- you can reuse words such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc.","Adding this restriction to the maybe correct or definitely incorrect statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","does not reuse nouns, verbs, adjectives, or adverbs from the text",$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.udsia7gw0yt1
17288,"And even with clean practices and technologies like steaming of meat (which hasn't been tested nearly as much), some food would still be contaminated.",train,no_overlap,do not reuse any words from the text,"We ask you to come up with sentences that do not use the same noun, verb, adjective, and adverb appearing in the original text  (including proper nouns, such as the name of a person or the name of a city). This, however, does not mean that you have to change the function words. In other words -- you can reuse words such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc.","Adding this restriction to the maybe correct or definitely incorrect statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","does not reuse nouns, verbs, adjectives, or adverbs from the text",$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.udsia7gw0yt1
