promptID,premise,splits,heuristic_value,heuristic_friendlyname,heuristic_example_text,heuristic_payment_text,heuristic_checkbox_text,entailment_payment,neutral_payment,contradiction_payment,FAQ_direct_link
105377,I'd far rather read those sexy economics columns by Paul Krugman.,train,all_overlap,only reuse words that appear in the text,"This means that every contentful word that appears in the statement must have appeared in the text as well. However, it's acceptable to introduce new 'function words', such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc. It's also acceptable to change the tense of a verb or to make a noun plural/singular in order to make sure the sentence is grammatically correct.","Adding this restriction to the definitely correct statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a maybe correct or definitely incorrect statement, doing so is worth a bonus of $0.10.","only reuses nouns, verbs, adjectives, and adverbs that appeared in the text",$0.05 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=kix.5tcm7iyvtrml
136362,"The vote on Proposition 227 is evidence of the public will, says Gigot--the people reject screwy ideas such as bilingual education.",train,all_overlap,only reuse words that appear in the text,"This means that every contentful word that appears in the statement must have appeared in the text as well. However, it's acceptable to introduce new 'function words', such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc. It's also acceptable to change the tense of a verb or to make a noun plural/singular in order to make sure the sentence is grammatically correct.","Adding this restriction to the definitely correct statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a maybe correct or definitely incorrect statement, doing so is worth a bonus of $0.10.","only reuses nouns, verbs, adjectives, and adverbs that appeared in the text",$0.05 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=kix.5tcm7iyvtrml
108423,They drive fabulous cars and pick up every check.,train,all_overlap,only reuse words that appear in the text,"This means that every contentful word that appears in the statement must have appeared in the text as well. However, it's acceptable to introduce new 'function words', such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc. It's also acceptable to change the tense of a verb or to make a noun plural/singular in order to make sure the sentence is grammatically correct.","Adding this restriction to the definitely correct statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a maybe correct or definitely incorrect statement, doing so is worth a bonus of $0.10.","only reuses nouns, verbs, adjectives, and adverbs that appeared in the text",$0.05 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=kix.5tcm7iyvtrml
91135,The Flytrap investigation is the only part of Starr's work that America a) understands and b) actually cares about.,train,all_overlap,only reuse words that appear in the text,"This means that every contentful word that appears in the statement must have appeared in the text as well. However, it's acceptable to introduce new 'function words', such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc. It's also acceptable to change the tense of a verb or to make a noun plural/singular in order to make sure the sentence is grammatically correct.","Adding this restriction to the definitely correct statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a maybe correct or definitely incorrect statement, doing so is worth a bonus of $0.10.","only reuses nouns, verbs, adjectives, and adverbs that appeared in the text",$0.05 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=kix.5tcm7iyvtrml
29233,Broder and Waas say they have spoken with two ex- Spectator employees who anonymously corroborate Mann and Rand's assertion that the Arkansas Project paid Hale.,train,all_overlap,only reuse words that appear in the text,"This means that every contentful word that appears in the statement must have appeared in the text as well. However, it's acceptable to introduce new 'function words', such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc. It's also acceptable to change the tense of a verb or to make a noun plural/singular in order to make sure the sentence is grammatically correct.","Adding this restriction to the definitely correct statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a maybe correct or definitely incorrect statement, doing so is worth a bonus of $0.10.","only reuses nouns, verbs, adjectives, and adverbs that appeared in the text",$0.05 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=kix.5tcm7iyvtrml
7312,"Another favorite Republican cause is the Small Business Administration, which exists to make loans to companies that banks deem nonviable.",train,all_overlap,only reuse words that appear in the text,"This means that every contentful word that appears in the statement must have appeared in the text as well. However, it's acceptable to introduce new 'function words', such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc. It's also acceptable to change the tense of a verb or to make a noun plural/singular in order to make sure the sentence is grammatically correct.","Adding this restriction to the definitely correct statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a maybe correct or definitely incorrect statement, doing so is worth a bonus of $0.10.","only reuses nouns, verbs, adjectives, and adverbs that appeared in the text",$0.05 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=kix.5tcm7iyvtrml
14331,"But the truth is that KKR's success illustrates a more mundane--but even more important--point, which is that managers of a company perform better when they're held accountable by the owners of that company.",dev,all_overlap,only reuse words that appear in the text,"This means that every contentful word that appears in the statement must have appeared in the text as well. However, it's acceptable to introduce new 'function words', such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc. It's also acceptable to change the tense of a verb or to make a noun plural/singular in order to make sure the sentence is grammatically correct.","Adding this restriction to the definitely correct statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a maybe correct or definitely incorrect statement, doing so is worth a bonus of $0.10.","only reuses nouns, verbs, adjectives, and adverbs that appeared in the text",$0.05 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=kix.5tcm7iyvtrml
63469,"It lacked intelligence, introspection, and humor--it was crass, worthy of Cosmopolitan or Star . I do have a sense of humor, but can only appreciate a joke when it starts with a grain of truth.",dev,all_overlap,only reuse words that appear in the text,"This means that every contentful word that appears in the statement must have appeared in the text as well. However, it's acceptable to introduce new 'function words', such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc. It's also acceptable to change the tense of a verb or to make a noun plural/singular in order to make sure the sentence is grammatically correct.","Adding this restriction to the definitely correct statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a maybe correct or definitely incorrect statement, doing so is worth a bonus of $0.10.","only reuses nouns, verbs, adjectives, and adverbs that appeared in the text",$0.05 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=kix.5tcm7iyvtrml
139515,"One of the most famous of all photographs is Robert Capa's 1936 Moment of Death , taken during the Spanish Civil War.",train,all_overlap,only reuse words that appear in the text,"This means that every contentful word that appears in the statement must have appeared in the text as well. However, it's acceptable to introduce new 'function words', such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc. It's also acceptable to change the tense of a verb or to make a noun plural/singular in order to make sure the sentence is grammatically correct.","Adding this restriction to the definitely correct statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a maybe correct or definitely incorrect statement, doing so is worth a bonus of $0.10.","only reuses nouns, verbs, adjectives, and adverbs that appeared in the text",$0.05 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=kix.5tcm7iyvtrml
29081,"Hannah was recently spotted in New York wearing a hat with a star on it, while Kennedy was photographed elsewhere in the Big Apple wearing a T-shirt with--are you sitting down?",train,all_overlap,only reuse words that appear in the text,"This means that every contentful word that appears in the statement must have appeared in the text as well. However, it's acceptable to introduce new 'function words', such as <em>the, can, should, that, at, in, near, and, but, any, he, she, they, is, was</em>, etc. It's also acceptable to change the tense of a verb or to make a noun plural/singular in order to make sure the sentence is grammatically correct.","Adding this restriction to the definitely correct statement will add a bonus of $0.05. Because it's often more challenging to add this restriction to a maybe correct or definitely incorrect statement, doing so is worth a bonus of $0.10.","only reuses nouns, verbs, adjectives, and adverbs that appeared in the text",$0.05 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=kix.5tcm7iyvtrml
