"","AnonId","numHIT_bonus","validation_bonus","slack_bonus","total_bonus"
"1",101,0,0,0,0
"2",102,16,0,0,16
"3",103,6,5,0,11
"4",104,0,0,0,0
"5",105,0,0,0,0
"6",106,0,0,0,0
"7",107,16,5,0,21
"8",108,16,5,0,21
"9",109,0,0,0,0
"10",110,0,0,0,0
"11",111,0,0,0,0
"12",112,0,0,0,0
"13",113,1,0,0,1
"14",114,0,0,0,0
"15",115,16,5,0,21
"16",116,0,0,0,0
"17",117,1,0,0,1
"18",118,6,0,0,6
"19",119,0,0,0,0
"20",120,0,0,0,0
"21",121,0,0,0,0
"22",122,0,0,0,0
"23",123,0,0,0,0
"24",124,0,0,0,0
"25",125,0,0,0,0
"26",126,1,5,0,6
"27",127,6,5,0,11
"28",128,6,0,0,6
"29",129,0,0,0,0
"30",130,16,0,0,16
"31",131,0,0,0,0
"32",132,0,5,0,5
"33",133,1,0,0,1
"34",134,0,0,0,0
"35",135,6,5,0,11
"36",136,1,0,0,1
"37",137,16,0,0,16
"38",138,0,0,0,0
"39",139,6,0,0,6
"40",140,0,0,0,0
"41",141,0,0,0,0
"42",142,0,0,0,0
"43",143,0,0,0,0
"44",144,0,0,0,0
"45",145,0,0,0,0
"46",201,16,0,0,16
"47",202,0,0,0,0
"48",203,0,0,0,0
"49",204,0,0,0,0
"50",205,0,0,0,0
"51",206,1,0,0,1
"52",207,0,0,0,0
"53",208,0,0,0,0
"54",209,1,0,0,1
"55",210,0,0,0,0
"56",211,6,0,0,6
"57",212,0,0,0,0
"58",213,0,0,0,0
"59",214,16,5,0,21
"60",215,0,0,0,0
"61",216,0,0,0,0
"62",217,0,0,0,0
"63",218,0,0,0,0
"64",219,0,0,0,0
"65",220,0,0,0,0
"66",221,0,0,0,0
"67",222,16,5,0,21
"68",223,0,0,0,0
"69",224,0,0,0,0
"70",225,1,0,0,1
"71",226,6,0,0,6
"72",227,0,0,0,0
"73",228,0,0,0,0
"74",229,6,0,0,6
"75",230,16,0,0,16
"76",231,16,0,0,16
"77",232,0,0,0,0
"78",233,16,0,0,16
"79",234,0,0,0,0
"80",235,6,5,0,11
"81",236,16,0,0,16
"82",237,16,0,0,16
"83",238,6,0,0,6
"84",239,0,0,0,0
"85",240,0,0,0,0
"86",241,0,0,0,0
"87",242,0,0,0,0
"88",243,0,0,0,0
"89",244,0,0,0,0
"90",245,0,0,0,0
"91",301,0,0,1.5,1.5
"92",302,0,0,0,0
"93",303,0,0,1.5,1.5
"94",304,0,0,0,0
"95",305,0,0,0,0
"96",306,6,0,1.5,7.5
"97",307,1,0,1.5,2.5
"98",308,0,0,0,0
"99",309,1,0,0,1
"100",310,16,5,10,31
"101",311,6,5,1.5,12.5
"102",312,0,0,0,0
"103",313,0,0,1.5,1.5
"104",314,0,0,0,0
"105",315,6,0,1.5,7.5
"106",316,6,0,1.5,7.5
"107",317,0,0,0,0
"108",318,0,0,0,0
"109",319,0,0,0,0
"110",320,0,0,0,0
"111",321,1,0,1.5,2.5
"112",322,0,0,0,0
"113",323,0,0,1.5,1.5
"114",324,6,0,10,16
"115",325,0,0,0,0
"116",326,0,0,1.5,1.5
"117",327,0,0,0,0
"118",328,0,5,0,5
"119",329,16,5,1.5,22.5
"120",330,0,0,0,0
"121",331,1,0,0,1
"122",332,16,5,10,31
"123",333,16,0,1.5,17.5
"124",334,6,0,1.5,7.5
"125",335,0,0,1.5,1.5
"126",336,16,0,1.5,17.5
"127",337,6,0,1.5,7.5
"128",338,0,0,0,0
"129",339,6,5,10,21
"130",340,0,0,0,0
"131",341,0,0,1.5,1.5
"132",342,1,0,1.5,2.5
"133",343,0,0,0,0
"134",344,0,0,0,0
"135",345,0,0,0,0
