"","AssignmentId","AnonId","updated_bonus"
"1","37WLF8U1WQSQFVVGS5DP7PZ1T5EK6T",217,0.05
"2","3GS6S824SRZPHGVPG0I9XBFIB3SNWK",209,0.05
"3","3P59JYT76MM10D22ZCFEI35LWHST2O",203,0.05
"4","384PI804XT3TP3M9VP6APAGKXW5S0H",331,0.3
"5","3S4AW7T80CKNKE9KUHWBPRS2MFY4LI",307,0.05
"6","3SKEMFQBZ47DJ9E4LKANR3VSZ4ZK8I",115,0.8
"7","3Y9N9SS8LZDJ462OHMT4W9SRZCID3K",333,0.8
"8","36V4Q8R5ZL2EF1E3SQ43S78WIIOMQE",233,0.8
"9","3TEM0PF1Q6ZNNE3RYZBLUBUKWTYD0B",107,0.8
"10","3Z4AIRP3C7F1S9TQLIGX2NGMH3Q1XE",319,0.05
"11","3OLF68YTNA3GMBF5H7347H9IHSNAF7",222,0.8
"12","3OS4RQUCRAHL5LKXNL302STOZBLBFI",306,0.3
"13","3D8YOU6S9FM4IR0SMJHRDC8ZVWCU60",108,0.8
"14","3X3OR7WPZ02O3FWM6KMO6387O0JL8T",316,0.3
"15","3JZQSN0I3RCHW2S837VE33KLFNBGF0",123,0.3
"16","3LRLIPTPERBR2X7JIIU1NU1NPSSKAF",214,0.8
"17","3Z9WI9EOZ0Q6CKFXOO4T4GOR2QXHK8",136,0.3
"18","36H9ULYP63WRN4I9BDGH0GC17FHFJS",113,0.05
"19","3S06PH7KSS6NU3O9UIFL8GDU1L1D1B",229,0.3
"20","39U1BHVTDMTQLVYL3CTJ1DAD2WD3TW",311,0.3
"21","3R08VXYT7DX0EV320T1K1ETSBN77WB",130,0.8
"22","3JJVG1YBECZT3OR8H9QRGG2BANX5BV",332,0.8
"23","3KMS4QQVK3SMYOORTYGT1VCEMBKKFD",139,0.8
"24","31T4R4OBOTIR0XXXJ21JPKMPJ99C7V",226,0.3
"25","33CUSNVVNOETO8C3CVDK1YM144188J",324,0.05
"26","3VAR3R6G1Q3W90ZJJC2GYKC1J5S8O1",231,0.3
"27","3QILPRALQ6XERFZ7IX23JVCWTVKN8Y",102,0.3
"28","3JC6VJ2SACLOKEMGBVQVL5I5S5C5A0",337,0.8
"29","39LNWE0K4VYKBBVTOKQGAFY44NDIUO",128,0.3
"30","37XITHEISXB1IGHCSGZPU1DPKPTRC7",201,0.8
"31","3X65QVEQI1PQFIMZNW2T8P4QEYZLC8",135,0.8
"32","3I3WADAZ9R6DMIGHLEVDM02AHMX5OG",315,0.05
"33","3GLB5JMZFYXKYIECC10OF3H03E6GD8",132,0.05
"34","3IXEICO793LPIEL3MERH8GMXCIA6TQ",219,0.05
"35","3300DTYQT3JG3DMQBSGKFZ3N9DGQE6",133,0.8
"36","3CTOC39K38SE8B33TUI5COZK9Y7J7F",339,0.8
"37","3OF2M9AATHQS35FRUAA04NSWYDJKZ0",225,0.05
"38","3IJXV6UZ1YLSVJ3CKQVB54BKXO3RIN",103,0.8
"39","3Z2R0DQ0JIGZBUK59HQJJH5KTAO2EW",234,0.05
"40","34QN5IT0T0TB6J70HR058JGJL27806",310,0.3
"41","373ERPL3YPAI4XJNE2UFJBDT8CMTRN",342,0.3
"42","36H9ULYP63WRN4I9BDGH0GC17MKFJ9",336,0.8
"43","3R3YRB5GRG555TCVCWY3THALRF2UAQ",309,0.8
"44","3IXQG4FA2U0C4BTKKZ38SW7DWCR9BN",230,0.8
"45","33JKGHPFYDWTC41BCYCMODDRD0YNMB",127,0.3
"46","3U5NZHP4LS47NBCD1G910XAQW03HP9",235,0.3
"47","3MYYFCXHJ497YMVJJQZVCZNUQ7PG4J",237,0.8
"48","3VE8AYVF8NZ23NMQK9JQBQ3NR8AF83",323,0.05
"49","3OF2M9AATHQS35FRUAA04NSWYAFKZQ",329,0.8
"50","3ZDAD0O1T2F21T5ZN1078TZH9QTXT3",321,0.05
"51","3LWJHTCVCDO89RMM630QXHONLA9FQJ",211,0.3
"52","3EKVH9QMEZ6UJO65DMFZDZNZTYID29",236,0.8
