,AnonId,mean_agree_validating,count_validations,mean_validated,count_writing,low_raw_agreement,decision
1,102,0.9,50,0.958333333,24,good,
2,103,0.909090909,176,0.979166667,48,good,
3,107,0.870786517,178,0.972222222,36,good,
4,108,0.890804598,174,0.976190476,42,good,
5,110,0.944444444,18,NA,NA,good,
6,113,0.791666667,24,1,6,good,
7,115,0.925714286,175,0.85483871,62,good,
8,120,NA,NA,NA,3,good,
9,121,1,3,NA,NA,good,
10,122,NA,NA,1,3,good,
11,123,0.859649123,171,1,6,good,
12,125,1,6,1,6,good,
13,127,0.85915493,71,1,27,good,
14,128,0.81294964,139,0.933333333,15,good,
15,130,0.921348315,178,0.93442623,61,good,
16,131,1,6,NA,NA,good,
17,132,NA,NA,0.666666667,3,low,
18,133,0.937853107,177,0.951219512,41,good,
19,135,0.885542169,166,0.97826087,46,good,
20,136,0.825842697,178,0.75,24,good,
21,139,0.898876404,89,0.952380952,42,good,
22,201,0.817391304,115,0.872340426,47,good,
23,203,0.851851852,81,NA,NA,good,
24,206,1,6,NA,NA,good,
25,209,NA,NA,1,16,good,
26,211,0.876404494,178,0.884615385,26,good,
27,214,0.8,175,0.924528302,53,good,
28,216,0.6,10,NA,NA,low,removed
29,217,0.85106383,47,0.833333333,6,good,
30,218,0.791666667,24,0.666666667,3,low,
31,219,0.75,44,0.666666667,3,low,
32,222,0.88172043,93,0.897435897,39,good,
33,225,0.765625,64,0.733333333,15,good,
34,226,0.83,100,0.961538462,26,good,
35,227,NA,NA,0.666666667,3,low,
36,229,0.879518072,166,0.958333333,24,good,
37,230,0.817610063,159,0.956521739,69,good,
38,231,0.882758621,145,0.714285714,21,good,
39,233,0.881188119,101,0.942307692,52,good,
40,234,0.914285714,35,1,3,good,
41,235,0.921568627,102,1,21,good,
42,236,0.914285714,175,0.923076923,39,good,
43,237,0.748344371,151,0.814814815,27,good,
44,301,0.944444444,18,NA,NA,good,
45,302,0.823529412,17,NA,NA,good,
46,304,1,5,NA,NA,good,
47,305,0.2,5,NA,NA,low,removed
48,306,0.843137255,153,0.909090909,33,good,
49,307,NA,NA,1,6,good,
50,309,0.848837209,172,0.838709677,62,good,
51,310,0.852713178,129,1,9,good,
52,311,0.912698413,126,1,23,good,
53,315,0.835294118,85,1,3,good,
54,316,0.792079208,101,0.894736842,38,good,
55,318,0.833333333,12,NA,NA,good,
56,319,0.784313725,51,1,13,good,
57,321,0.75,12,0.818181818,11,good,
58,324,0.78125,32,1,3,good,
59,328,0.75,12,NA,NA,good,
60,329,0.836538462,104,0.947368421,57,good,
61,331,0.801886792,106,0.866666667,15,good,
62,332,0.841584158,101,0.967213115,61,good,
63,333,0.823529412,102,0.953488372,43,good,
64,334,1,12,NA,NA,good,removed (at worker request)
65,336,0.873134328,134,0.966666667,30,good,
66,337,0.8125,144,0.909090909,33,good,
67,339,0.836601307,153,0.967741935,31,good,
68,342,0.841059603,151,0.857142857,14,good,
