"","AnonId","numHIT_bonus","validation_bonus","heur_bonus_total","slack_bonus","total_bonus"
"1",101,0,0,0,0,0
"2",102,6.9,5,0,0,11.9
"3",103,18.4,5,0,0,23.4
"4",104,0,0,0,0,0
"5",105,0,0,0,0,0
"6",106,0,0,0,0,0
"7",107,18.4,5,0,0,23.4
"8",108,18.4,5,0,0,23.4
"9",109,0,0,0,0,0
"10",110,1.15,0,0,0,1.15
"11",111,1.15,0,0,0,1.15
"12",112,0,0,0,0,0
"13",113,0,0,0,0,0
"14",114,0,0,0,0,0
"15",115,18.4,0,0,0,18.4
"16",116,0,0,0,0,0
"17",117,0,0,0,0,0
"18",118,0,0,0,0,0
"19",119,0,0,0,0,0
"20",120,0,0,0,0,0
"21",121,0,0,0,0,0
"22",122,0,0,0,0,0
"23",123,6.9,5,0,0,11.9
"24",124,0,0,0,0,0
"25",125,0,0,0,0,0
"26",126,0,0,0,0,0
"27",127,18.4,5,0,0,23.4
"28",128,6.9,5,0,0,11.9
"29",129,0,0,0,0,0
"30",130,18.4,0,0,0,18.4
"31",131,1.15,0,0,0,1.15
"32",132,0,0,0,0,0
"33",133,18.4,5,0,0,23.4
"34",134,0,0,0,0,0
"35",135,1.15,0,0,0,1.15
"36",136,18.4,0,0,0,18.4
"37",137,0,0,0,0,0
"38",138,6.9,0,0,0,6.9
"39",139,18.4,0,0,0,18.4
"40",140,0,0,0,0,0
"41",141,0,0,0,0,0
"42",142,0,0,0,0,0
"43",143,0,0,0,0,0
"44",144,0,0,0,0,0
"45",145,0,0,0,0,0
"46",201,18.4,5,1.91,0,25.31
"47",202,0,0,0,0,0
"48",203,0,0,0,0,0
"49",204,0,0,0,0,0
"50",205,0,0,0,0,0
"51",206,0,0,0,0,0
"52",207,0,0,0,0,0
"53",208,0,0,0,0,0
"54",209,6.9,0,4.23,0,11.13
"55",210,0,0,0,0,0
"56",211,6.9,5,0,0,11.9
"57",212,0,0,0,0,0
"58",213,0,0,0,0,0
"59",214,18.4,0,2,0,20.4
"60",215,0,0,0,0,0
"61",216,0,0,0,0,0
"62",217,6.9,5,1.02,0,12.92
"63",218,1.15,0,0,0,1.15
"64",219,1.15,5,0.19,0,6.34
"65",220,6.9,0,0.42,0,7.32
"66",221,0,0,0,0,0
"67",222,18.4,5,6.6,0,30
"68",223,0,0,0.27,0,0.27
"69",224,0,0,0,0,0
"70",225,1.15,0,0,0,1.15
"71",226,6.9,5,0.3,0,12.2
"72",227,0,0,0,0,0
"73",228,0,0,0,0,0
"74",229,18.4,5,0.65,0,24.05
"75",230,18.4,0,7.34,0,25.74
"76",231,18.4,0,3.22,0,21.62
"77",232,0,0,0,0,0
"78",233,18.4,0,2.87,0,21.27
"79",234,0,0,0,0,0
"80",235,6.9,5,0.94,0,12.84
"81",236,1.15,0,0.49,0,1.64
"82",237,6.9,0,1.87,0,8.77
"83",238,0,0,0,0,0
"84",239,0,0,0,0,0
"85",240,0,0,0,0,0
"86",241,0,0,0,0,0
"87",242,0,0,0,0,0
"88",243,0,0,0,0,0
"89",244,0,0,0,0,0
"90",245,0,0,0,0,0
"91",301,0,0,0,0,0
"92",302,0,0,0,0,0
"93",303,0,0,0,0,0
"94",304,0,0,0,0,0
"95",305,0,0,0,0,0
"96",306,1.15,0,0.07,0,1.22
"97",307,0,0,0,0,0
"98",308,0,0,0,0,0
"99",309,18.4,0,0,0,18.4
"100",310,6.9,0,2.74,0,9.64
"101",311,18.4,0,7.95,0,26.35
"102",312,6.9,0,1.02,0,7.92
"103",313,1.15,0,3.64,0,4.79
"104",314,0,0,0,0,0
"105",315,1.15,0,0,0,1.15
"106",316,18.4,0,5.57,0,23.97
"107",317,0,0,0,0,0
"108",318,0,0,0,0,0
"109",319,18.4,5,3.14,0,26.54
"110",320,0,0,0,0,0
"111",321,6.9,5,1.68,0,13.58
"112",322,0,0,0,0,0
"113",323,1.15,5,0.42,0,6.57
"114",324,6.9,5,0,0,11.9
"115",325,0,0,0,0,0
"116",326,0,0,0,0,0
"117",327,1.15,0,1.79,0,2.94
"118",328,0,0,0,0,0
"119",329,18.4,0,1.77,0,20.17
"120",330,0,0,0,0,0
"121",331,18.4,0,0,0,18.4
"122",332,0,0,0,0,0
"123",333,18.4,0,9.3,0,27.7
"124",334,0,0,0,0,0
"125",335,0,0,0,0,0
"126",336,18.4,0,1.7,0,20.1
"127",337,18.4,0,2.22,0,20.62
"128",338,0,0,0,0,0
"129",339,0,0,0,0,0
"130",340,0,0,0,0,0
"131",341,0,0,0,0,0
"132",342,1.15,0,0.2,0,1.35
"133",343,0,0,0,0,0
"134",344,0,0,0,0,0
"135",345,0,0,0,0,0
