"","promptID","premise","splits"
"1","142430","Flying at a discount should be more dangerous.","dev"
"2","145829","People who should have known better found the ceremony moving.","train"
"3","16154","Some 30 years after his death, the theaters had been destroyed, the actors dismissed and the playwrights sent into exile.","train"
"4","101164","At the first, Brock, under the guise of fairness, slings enough mud to drown a Bangladeshi village.","train"
"5","55954","Now that's a Flytrap remedy even Clinton's worst enemies can love.","train"
"6","118562","And every close did meet","train"
"7","66289","Perhaps one could indoctrinate oneself in that attitude in youth and so prepare for old age.","train"
"8","144440","Many of the other articles (such as a Versace dress that uses Warhol's Marilyn Monroe face) never even belonged to the artist and serve only to make tendentious points about art and fashion.","train"
"9","40975","Well, whatever.","train"
"10","72740","So it wasn't Missenhardt's singing--marvelous though that was--that made Osmin's rantings so thrilling.","dev"
"11","101656","So little cause for carolings     Of such ecstatic soundWas written on terrestrial things     Afar or nigh around,That I could think there trembled through     His happy good-night airSome blessed Hope, whereof he knew     And I was unaware.","train"
"12","93492","One answer  nothing . The history of central bank attempts to deflate overvalued stock prices is not encouraging.","train"
"13","52620","Perhaps that's why he has always seemed to want to preclude critical judgment with pre-emptive strikes within his prose, anticipating our responses and silencing us.","train"
"14","124213","Clinton has faced an escalating series of serious accusations--serious in the sense that they were all plausible and some were true.","train"
"15","37570","Oh say, I don't want to be intrusive, but if your guests do get into another knife fight or whatever, it's really easy to get the blood splatters out of the white frilled curtains if you wash them in cold water right away.","dev"
"16","120237","Besides Bening, the film's chief interest is the unmatched intensity that Jordan brings to her visions, which are both lyrical and ghastly, and so frightening that it's hard to imagine how the movie can deliver a demon worthy of them.","train"
"17","142256","When you hear that despite the fact that he has economists who know better, the Justice Department's Joel Klein apparently either believes or chooses to claim that this case is about path dependence, you start to wonder.","train"
"18","53641","Does He or Doesn't She?","train"
"19","57860","As it stands now, police officers, especially in urban areas, present more illegally obtained evidence than legally obtained evidence.","train"
"20","145696","Two other docs are worth your attention this  The Learning Channel's gritty Inside the White House Press Corps (Monday, 9 p.m.); and RFK vs.","train"
